Player,Team,Minutes,goals_per_90,player_expected_goals_per_90,player_expected_assists_per_90,player_accurate_passes,player_accurate_long_balls,player_tackles_won,player_interceptions,player_effective_clearances,player_contests_won,player_big_chances_created
Xavi Simons,RB Leipzig,2673,0.27,0.28,0.3,36.9,1.8,0.6,0.5,0.1,2.8,14.0
Lucas Höler,SC Freiburg,2309,0.27,0.33,0.08,19.0,0.6,0.9,0.6,1.3,0.5,1.0
Takuma Asano,VfL Bochum,2003,0.27,0.36,0.04,11.5,0.3,0.3,0.2,0.4,0.7,2.0
Thomas Müller,Bayern München,1659,0.27,0.34,0.43,30.5,1.0,0.9,0.2,0.3,0.6,17.0
Kevin Sessa,1. FC Heidenheim 1846,1001,0.27,0.26,0.16,28.4,2.2,0.9,0.4,1.4,1.1,2.0
Oscar Vilhelmsson,SV Darmstadt,1375,0.26,0.27,0.04,8.0,0.1,0.4,0.2,1.2,0.3,1.0
Eric Maxim Choupo-Moting,Bayern München,703,0.26,0.58,0.17,29.2,0.6,1.5,0.9,0.8,2.9,2.0
Jae-Sung Lee,1. FSV Mainz 05,2124,0.25,0.21,0.09,25.3,0.8,0.8,1.1,0.8,0.6,5.0
Rocco Reitz,Borussia Mönchengladbach,2141,0.25,0.15,0.11,32.7,1.7,1.5,1.8,1.1,0.8,3.0
Dani Olmo,RB Leipzig,1454,0.25,0.21,0.23,30.9,2.2,1.1,0.8,0.7,1.9,8.0
Maximilian Wittek,VfL Bochum,1067,0.25,0.11,0.23,20.2,1.1,1.4,1.5,1.8,0.8,1.0
Kevin Stöger,VfL Bochum,2678,0.24,0.21,0.33,41.3,3.2,1.0,0.6,0.5,0.8,17.0
Leon Goretzka,Bayern München,2242,0.24,0.2,0.19,62.1,2.5,0.9,1.2,1.6,0.5,10.0
Robin Gosens,1. FC Union Berlin,2297,0.24,0.09,0.13,26.6,1.5,1.7,1.4,2.7,0.2,6.0
Kevin Behrens,VfL Wolfsburg,1880,0.24,0.37,0.1,15.5,0.8,0.5,0.4,1.1,0.3,3.0
Jamie Leweling,VfB Stuttgart,1519,0.24,0.36,0.19,26.2,0.7,0.6,0.3,0.7,1.5,5.0
Kingsley Coman,Bayern München,1123,0.24,0.22,0.36,40.6,1.0,0.6,0.2,0.3,2.3,4.0
Eric Ebimbe,Eintracht Frankfurt,1967,0.23,0.23,0.17,28.7,0.8,1.3,0.4,1.6,1.9,5.0
Philipp Hofmann,VfL Bochum,1576,0.23,0.27,0.08,15.2,0.3,0.3,0.2,1.0,0.5,5.0
Gian-Luca Waldschmidt,FC Köln,1151,0.23,0.23,0.14,24.1,1.3,0.9,0.5,0.5,1.4,3.0
Raphaël Guerreiro,Bayern München,1194,0.23,0.18,0.26,61.6,1.7,1.2,1.1,0.4,1.0,3.0
Brajan Gruda,1. FSV Mainz 05,1651,0.22,0.19,0.28,20.7,0.7,0.8,0.3,0.2,3.8,9.0
Keven Schlotterbeck,VfL Bochum,2184,0.21,0.09,0.04,32.8,1.8,0.9,1.4,4.1,0.2,0.0
Lovro Majer,VfL Wolfsburg,2116,0.21,0.23,0.21,31.3,0.9,0.8,0.5,0.5,1.1,6.0
Robert Andrich,Bayer 04 Leverkusen,1681,0.21,0.09,0.12,71.7,2.1,1.0,1.1,0.9,0.4,3.0
Josip Stanisic,Bayer 04 Leverkusen,1257,0.21,0.05,0.12,66.2,2.9,1.4,0.6,1.6,0.9,2.0
Niels Nkounkou,Eintracht Frankfurt,1301,0.21,0.09,0.14,34.2,2.1,2.1,1.1,1.7,3.2,4.0
Robert Skov,TSG Hoffenheim,1261,0.21,0.13,0.13,31.6,2.2,1.1,0.7,1.6,0.6,3.0
Enzo Millot,VfB Stuttgart,2254,0.2,0.21,0.21,48.8,1.2,0.9,0.6,0.3,1.8,7.0
Florian Kainz,FC Köln,2210,0.2,0.2,0.18,28.4,2.0,0.8,0.5,0.8,0.9,4.0
Jonas Hofmann,Bayer 04 Leverkusen,2214,0.2,0.24,0.34,46.9,2.2,0.6,0.3,0.2,0.7,17.0
Exequiel Palacios,Bayer 04 Leverkusen,1840,0.2,0.16,0.2,90.2,2.7,1.7,1.4,0.9,1.1,8.0
Julian Ryerson,Borussia Dortmund,1772,0.2,0.09,0.14,43.4,1.2,1.2,0.5,1.5,0.8,5.0
Kevin Volland,1. FC Union Berlin,1346,0.2,0.36,0.16,16.0,1.0,0.6,0.4,0.7,0.4,6.0
Tobias Kempe,SV Darmstadt,1351,0.2,0.24,0.17,25.4,1.2,0.9,0.6,0.7,0.5,3.0
Arne Engels,FC Augsburg,1398,0.19,0.12,0.11,22.8,1.9,1.2,1.0,1.3,0.4,1.0
Kevin Paredes,VfL Wolfsburg,1429,0.19,0.19,0.12,25.6,1.1,1.3,1.4,1.5,0.9,2.0
Marcel Sabitzer,Borussia Dortmund,1964,0.18,0.16,0.14,38.8,1.6,1.1,0.5,1.5,0.5,6.0
Ruben Vargas,FC Augsburg,1978,0.18,0.18,0.14,20.2,0.7,0.5,0.3,0.7,1.0,4.0
