Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches,Gls_pct,xG_pct,npxG_pct,Ast_pct,xAG_pct,Sh/90_pct,SoT/90_pct,PrgC_pct,PrgP_pct,PrgR_pct,Cmp%_pct,KP_pct,xA_pct,TklW_pct,Int_pct,Tkl+Int_pct,Clr_pct,Succ%_pct,Carries_pct,Touches_pct
Senne Lynen,Werder Bremen,de Bundesliga,MF,2733,0,1.1,1.1,1,0.6,0.79,0.1,9,91,28,82.9,8,1.1,39,65,137,75,42.9,849,1717,0.16515151515151516,0.403030303030303,0.4121212121212121,0.4575757575757576,0.2787878787878788,0.45,0.2545454545454545,0.24242424242424243,0.7196969696969697,0.36515151515151517,0.7242424242424242,0.33181818181818185,0.37424242424242427,0.9484848484848485,0.9954545454545455,1.0,0.806060606060606,0.4161290322580645,0.8121212121212121,0.8484848484848485
Ian Maatsen,Aston Villa,eng Premier League,DF,1139,1,0.9,0.9,2,2.7,1.5,0.4,31,50,104,81.5,19,2.4,17,15,44,39,44.8,505,917,0.44579945799457993,0.3699186991869919,0.37262872628726285,0.6273712737127372,0.7235772357723578,0.6693766937669376,0.6205962059620597,0.5799457994579946,0.3956639566395664,0.7520325203252033,0.5420054200542005,0.6287262872628726,0.7303523035230353,0.4823848238482385,0.5948509485094851,0.537940379403794,0.6056910569105691,0.502865329512894,0.3983739837398374,0.4065040650406504
Alexis Mac Allister,Liverpool,eng Premier League,MF,2599,5,2.8,2.8,5,4.7,1.32,0.45,36,177,80,83.5,45,5.6,58,22,117,29,38.1,914,1860,0.8130081300813008,0.6869918699186992,0.7005420054200542,0.8699186991869918,0.8712737127371274,0.6327913279132791,0.6626016260162602,0.6341463414634146,0.9566395663956639,0.6504065040650406,0.6409214092140921,0.9010840108401084,0.9498644986449865,0.9823848238482384,0.7384823848238482,0.9525745257452575,0.494579945799458,0.3108882521489971,0.8021680216802168,0.8455284552845529
Shuto Machino,Holstein Kiel,de Bundesliga,"FW,MF",1953,11,6.5,4.9,2,3.0,2.26,0.97,30,59,108,64.2,27,2.6,5,7,15,28,55.6,449,899,0.9590909090909091,0.9030303030303031,0.8651515151515151,0.656060606060606,0.7863636363636364,0.8303030303030303,0.8833333333333333,0.6803030303030303,0.5515151515151515,0.7772727272727272,0.06666666666666667,0.8196969696969697,0.7287878787878788,0.16666666666666666,0.3242424242424242,0.18787878787878787,0.4696969696969697,0.7354838709677419,0.3939393939393939,0.4393939393939394
James Maddison,Tottenham,eng Premier League,MF,1809,9,5.8,5.8,7,4.2,1.94,0.85,45,164,95,81.3,41,5.9,19,12,43,19,42.9,1026,1464,0.9227642276422764,0.8577235772357723,0.8685636856368564,0.9444444444444444,0.8373983739837398,0.7872628726287263,0.8401084010840109,0.7154471544715447,0.94579945799458,0.7195121951219512,0.5311653116531165,0.8672086720867209,0.9579945799457995,0.5365853658536586,0.502710027100271,0.5271002710027101,0.34552845528455284,0.4469914040114613,0.8509485094850948,0.7262872628726287
Noni Madueke,Chelsea,eng Premier League,FW,2033,7,9.6,9.6,3,4.2,3.54,1.33,154,69,226,77.4,32,3.2,18,10,35,11,44.1,641,980,0.8726287262872628,0.9390243902439024,0.9539295392953929,0.7439024390243902,0.8373983739837398,0.983739837398374,0.9769647696476965,0.9959349593495935,0.5772357723577236,0.9525745257452575,0.3794037940379404,0.8062330623306233,0.8170731707317073,0.505420054200542,0.4349593495934959,0.4268292682926829,0.1910569105691057,0.47564469914040114,0.5447154471544715,0.45257452574525747
Gabriel Magalhães,Arsenal,eng Premier League,DF,2363,3,2.6,2.6,1,0.9,0.84,0.19,10,126,11,90.2,13,1.2,15,16,41,93,80.0,1116,1873,0.7059620596205962,0.6720867208672087,0.6856368563685636,0.44986449864498645,0.3617886178861789,0.481029810298103,0.4146341463414634,0.23170731707317074,0.8468834688346883,0.2804878048780488,0.9200542005420054,0.462059620596206,0.47560975609756095,0.44579945799457993,0.6151761517615176,0.497289972899729,0.8712737127371274,0.9240687679083095,0.8834688346883469,0.8509485094850948
Harry Maguire,Manchester Utd,eng Premier League,DF,1758,1,1.8,1.8,0,0.6,0.77,0.31,7,51,7,85.5,9,0.3,15,40,70,78,40.0,782,1328,0.44579945799457993,0.5799457994579946,0.5799457994579946,0.17344173441734417,0.2791327913279133,0.44308943089430897,0.5433604336043361,0.18157181571815717,0.41192411924119243,0.23170731707317074,0.7262872628726287,0.34552845528455284,0.17344173441734417,0.44579945799457993,0.9376693766937669,0.7479674796747967,0.8306233062330624,0.3553008595988539,0.6788617886178862,0.6585365853658537
Arne Maier,Augsburg,de Bundesliga,MF,938,0,1.5,1.5,0,1.5,1.73,0.58,19,44,56,76.5,25,2.6,7,6,19,14,43.8,390,699,0.16515151515151516,0.5257575757575758,0.5348484848484848,0.1712121212121212,0.5666666666666667,0.7242424242424242,0.7212121212121212,0.46515151515151515,0.3939393939393939,0.543939393939394,0.46060606060606063,0.7833333333333333,0.7287878787878788,0.21666666666666667,0.28939393939393937,0.23787878787878788,0.23484848484848486,0.45161290322580644,0.3333333333333333,0.29393939393939394
Patrick Mainka,Heidenheim,de Bundesliga,DF,3060,1,1.9,1.9,1,0.3,0.74,0.24,21,102,12,85.4,7,0.7,30,68,126,206,54.5,1171,2136,0.42727272727272725,0.6166666666666667,0.6242424242424243,0.4575757575757576,0.1893939393939394,0.40606060606060607,0.48787878787878786,0.5212121212121212,0.7757575757575758,0.25,0.803030303030303,0.29545454545454547,0.25757575757575757,0.9015151515151515,1.0,0.9939393939393939,0.996969696969697,0.717741935483871,0.9363636363636364,0.9484848484848485
