Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches
Boubacar Kamara,Aston Villa,eng Premier League,MF,1726,1,0.8,0.8,0,0.9,0.52,0.16,19,85,7,88.6,11,0.8,21,19,69,51,33.3,591,1113
Jakub Kamiński,Wolfsburg,de Bundesliga,"DF,MF",1130,0,0.9,0.9,2,3.3,1.19,0.24,41,40,69,70.4,24,3.6,8,13,30,23,36.4,301,603
Kevin Kampl,RB Leipzig,de Bundesliga,MF,1593,1,0.8,0.8,0,1.4,0.4,0.11,21,106,32,89.0,16,2.7,18,24,51,25,68.4,793,1316
Harry Kane,Bayern Munich,de Bundesliga,FW,2381,26,20.3,13.3,9,5.3,3.97,1.7,29,97,143,78.9,35,5.6,11,2,15,16,43.4,513,917
Atakan Karazor,Stuttgart,de Bundesliga,MF,2618,2,2.3,2.0,4,2.6,0.48,0.24,19,140,33,86.6,15,2.5,29,32,91,51,57.1,1112,2124
Michael Keane,Everton,eng Premier League,DF,1049,3,0.6,0.6,0,0.1,0.86,0.34,1,14,3,82.8,2,0.0,9,16,28,65,0.0,229,513
Caoimhín Kelleher,Liverpool,eng Premier League,GK,900,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,75.7,0,0.0,0,0,0,1,100.0,290,398
Aljoscha Kemlein,Union Berlin,de Bundesliga,MF,922,1,0.9,0.9,0,0.6,1.07,0.29,5,42,19,75.5,10,0.7,4,6,16,15,66.7,260,549
Luca Kerber,Heidenheim,de Bundesliga,"MF,DF",783,2,0.6,0.6,0,0.7,0.8,0.57,1,16,12,73.7,6,0.4,16,5,31,25,20.0,175,364
Milos Kerkez,Bournemouth,eng Premier League,DF,3336,2,0.6,0.5,5,3.9,0.51,0.13,106,159,197,75.8,35,2.6,26,45,97,106,45.8,1094,2158
Bilal El Khannouss,Leicester City,eng Premier League,"MF,FW",2182,2,1.3,1.3,3,4.6,1.24,0.29,73,128,89,75.1,42,3.1,30,6,56,10,56.7,732,1268
Rani Khedira,Union Berlin,de Bundesliga,MF,2723,1,1.4,1.4,1,0.6,0.46,0.03,12,80,34,73.7,12,1.0,40,44,112,55,45.5,506,1246
Max Kilman,West Ham,eng Premier League,DF,3348,0,1.6,1.6,1,1.2,0.35,0.05,31,113,6,86.7,16,1.2,24,38,77,212,72.7,1270,2374
Joshua Kimmich,Bayern Munich,de Bundesliga,MF,2847,3,1.8,1.8,7,7.4,1.07,0.32,51,362,77,89.5,83,10.5,29,25,72,34,54.5,2399,3867
Jakub Kiwior,Arsenal,eng Premier League,DF,1122,1,0.2,0.2,0,0.3,0.24,0.08,5,48,1,91.4,5,0.3,8,6,28,58,60.0,492,846
Tim Kleindienst,Gladbach,de Bundesliga,FW,2737,16,13.6,11.9,7,6.2,2.4,1.18,45,63,145,60.9,29,4.0,15,12,42,66,37.8,545,1149
Lukas Klostermann,RB Leipzig,de Bundesliga,DF,1838,1,0.3,0.3,0,0.1,0.2,0.1,16,83,26,88.4,2,0.7,14,24,51,143,80.0,752,1472
Justin Kluivert,Bournemouth,eng Premier League,MF,2340,12,10.3,5.6,6,4.8,2.19,0.88,81,105,173,74.4,45,3.7,11,14,37,24,41.4,646,1086
Ansgar Knauff,Eint Frankfurt,de Bundesliga,"MF,DF",1597,4,4.9,4.9,5,5.2,1.69,0.51,53,58,146,66.7,27,4.5,22,12,53,24,46.4,435,775
Magnus Knudsen,Holstein Kiel,de Bundesliga,MF,1850,0,0.7,0.7,1,1.3,0.58,0.19,16,54,25,84.0,8,2.0,29,12,60,44,56.3,488,987
Gregor Kobel,Dortmund,de Bundesliga,GK,2880,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,80.0,1,0.0,0,1,1,23,100.0,831,1312
Robin Koch,Eint Frankfurt,de Bundesliga,DF,2586,3,1.7,1.7,0,0.2,0.52,0.21,9,93,4,90.7,7,0.5,11,25,49,197,33.3,1244,2148
Derrick Köhn,Werder Bremen,de Bundesliga,"DF,FW",1343,2,0.7,0.7,2,1.6,0.87,0.27,36,39,122,79.3,16,2.0,10,10,30,26,36.6,549,908
Dominik Kohr,Mainz 05,de Bundesliga,"DF,MF",2295,2,1.6,1.6,0,0.6,0.51,0.2,26,101,31,81.1,11,1.7,46,42,104,127,55.6,835,1693
Marco Komenda,Holstein Kiel,de Bundesliga,DF,1307,0,0.1,0.1,0,0.8,0.21,0.0,13,53,16,78.8,9,0.8,17,6,32,68,100.0,440,905
Mert Kömür,Augsburg,de Bundesliga,MF,654,2,1.1,1.1,1,1.5,1.79,0.96,18,11,46,71.9,13,1.3,2,3,6,7,54.5,185,313
Ibrahima Konaté,Liverpool,eng Premier League,DF,2560,1,1.7,1.7,2,1.0,0.67,0.11,25,115,3,90.2,10,0.9,26,17,57,133,50.0,1290,2185
Ezri Konsa,Aston Villa,eng Premier League,DF,2936,2,1.3,1.3,0,0.4,0.34,0.15,24,90,11,92.9,6,0.6,18,24,58,114,44.4,1132,1915
Henri Koudossou,Augsburg,de Bundesliga,DF,748,0,0.1,0.1,0,0.8,0.24,0.0,19,23,48,78.8,10,0.8,10,15,33,37,47.1,220,469
Konstantinos Koulierakis,Wolfsburg,de Bundesliga,DF,2468,0,1.0,1.0,2,1.0,0.8,0.11,20,104,8,83.0,10,0.8,20,33,73,147,58.3,1049,1886
Mateo Kovačić,Manchester City,eng Premier League,MF,2198,6,1.9,1.9,2,3.6,1.84,0.49,56,164,16,92.6,33,3.2,38,24,93,21,53.7,1445,2123
Andrej Kramarić,Hoffenheim,de Bundesliga,"MF,FW",2767,11,11.8,9.5,8,4.3,2.15,0.75,75,143,202,77.7,49,5.7,8,7,22,11,42.6,938,1554
Frans Krätzig,Heidenheim,de Bundesliga,"DF,MF",1217,1,0.6,0.6,2,1.8,0.67,0.22,25,37,57,75.9,28,1.8,18,17,49,15,45.0,372,676
Tom Krauß,Bochum,de Bundesliga,MF,1077,0,0.4,0.4,0,0.7,0.92,0.17,16,84,20,80.0,12,1.0,18,11,46,19,52.2,430,768
Rasmus Kristensen,Eint Frankfurt,de Bundesliga,DF,2513,5,2.5,2.5,3,3.1,0.86,0.29,51,172,162,77.7,20,4.8,33,20,79,97,44.9,1084,1955
Lukas Kübler,Freiburg,de Bundesliga,DF,1842,5,2.7,2.7,1,0.8,0.88,0.49,24,78,49,77.1,11,1.1,21,53,93,61,0.0,519,1268
Mohammed Kudus,West Ham,eng Premier League,"FW,MF",2590,5,6.9,6.9,3,3.1,2.61,0.73,98,79,216,83.6,31,2.7,23,4,42,8,44.2,842,1274
Dejan Kulusevski,Tottenham,eng Premier League,"MF,FW",2389,7,4.2,4.2,4,6.2,1.77,0.64,120,124,210,73.7,65,3.9,23,13,58,10,32.5,823,1276
Nediljko Labrović,Augsburg,de Bundesliga,GK,1350,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,70.2,0,0.1,0,0,0,12,,306,546
Maxence Lacroix,Crystal Palace,eng Premier League,DF,3116,1,3.4,3.4,1,1.0,0.87,0.14,8,65,7,81.7,8,1.0,41,54,122,207,57.1,1030,1934
Konrad Laimer,Bayern Munich,de Bundesliga,DF,1699,2,2.1,2.1,2,2.7,0.95,0.32,87,141,113,87.8,20,3.2,27,8,57,24,56.7,816,1421
Stefan Lainer,Gladbach,de Bundesliga,DF,757,1,0.3,0.3,0,1.0,0.48,0.12,25,25,32,77.4,9,0.4,13,12,34,30,50.0,288,565
Tariq Lamptey,Brighton,eng Premier League,DF,860,2,0.4,0.4,2,0.8,0.63,0.21,32,14,45,81.1,5,0.8,11,7,24,23,32.3,292,535
Hugo Larsson,Eint Frankfurt,de Bundesliga,MF,2393,3,3.1,3.1,1,2.1,0.79,0.38,16,121,33,86.9,21,1.9,27,30,77,35,63.2,803,1478
Roméo Lavia,Chelsea,eng Premier League,MF,797,0,0.3,0.3,1,0.7,0.23,0.0,3,31,7,91.7,7,0.4,13,16,38,10,62.5,295,493
Diogo Leite,Union Berlin,de Bundesliga,DF,2546,1,1.4,1.4,2,1.0,0.64,0.28,20,116,16,78.6,13,2.4,32,57,121,162,66.7,853,1803
Maxim Leitsch,Mainz 05,de Bundesliga,DF,674,1,1.2,1.2,0,0.2,0.8,0.13,4,25,5,78.1,2,0.2,4,10,22,42,0.0,173,473
Mario Lemina,Wolves,eng Premier League,"MF,DF",1364,1,1.4,1.4,3,1.1,1.19,0.33,8,48,21,80.4,10,1.2,31,27,78,50,62.5,382,809
Bernd Leno,Fulham,eng Premier League,GK,3420,0,0.0,0.0,1,0.1,0.0,0.0,0,0,0,81.8,2,0.1,2,0,2,11,,955,1479
Jefferson Lerma,Crystal Palace,eng Premier League,"MF,DF",2274,0,1.1,1.1,1,1.6,1.03,0.32,13,97,26,75.3,10,1.7,17,42,77,80,53.8,649,1406
Jamie Leweling,Stuttgart,de Bundesliga,"MF,FW",1663,2,1.6,1.6,2,3.8,1.57,0.87,55,51,164,70.5,25,3.3,6,11,27,17,50.0,540,801
Rico Lewis,Manchester City,eng Premier League,"DF,MF",1893,1,1.4,1.4,2,0.3,0.48,0.1,39,107,78,91.5,7,1.0,19,13,43,45,42.9,865,1477
Keane Lewis-Potter,Brentford,eng Premier League,"DF,FW",3093,1,3.1,3.1,3,3.2,0.81,0.41,98,98,156,77.1,26,4.9,27,21,70,76,40.6,868,1613
Myles Lewis-Skelly,Arsenal,eng Premier League,DF,1369,1,0.2,0.2,0,0.4,0.2,0.07,37,71,37,91.2,8,0.5,14,7,29,27,42.9,526,905
Philipp Lienhart,Freiburg,de Bundesliga,DF,2770,1,0.5,0.5,0,0.8,0.26,0.03,44,138,9,86.2,6,1.0,13,36,58,124,40.0,1444,2520
Matthijs de Ligt,Manchester Utd,eng Premier League,DF,2123,2,2.5,2.5,0,0.3,0.76,0.38,7,55,6,89.9,6,0.3,22,33,63,96,50.0,1078,1608
Victor Lindelöf,Manchester Utd,eng Premier League,DF,704,0,0.0,0.0,0,0.1,0.0,0.0,5,26,4,93.8,3,0.1,2,8,15,36,,263,452
Jesper Lindstrøm,Everton,eng Premier League,FW,1239,0,2.1,2.1,1,2.0,2.03,0.73,30,25,81,69.4,19,2.0,25,12,57,17,18.6,302,625
Valentino Livramento,Newcastle Utd,eng Premier League,DF,2840,0,0.3,0.3,1,2.6,0.19,0.06,83,158,119,85.4,25,2.7,36,23,77,108,44.6,1023,1964
Sean Longstaff,Newcastle Utd,eng Premier League,MF,798,0,0.6,0.6,0,0.2,0.68,0.11,4,40,22,84.5,4,0.2,16,7,34,8,28.6,248,434
Anthony Losilla,Bochum,de Bundesliga,MF,1137,0,0.1,0.1,0,0.4,0.4,0.0,3,45,11,76.6,7,0.7,16,18,48,27,20.0,223,547
Castello Lukeba,RB Leipzig,de Bundesliga,DF,1577,0,0.4,0.4,0,0.2,0.23,0.06,18,80,23,85.1,4,0.5,17,17,48,74,62.5,806,1445
Saša Lukić,Fulham,eng Premier League,MF,2344,0,1.2,1.2,2,2.7,0.69,0.08,39,98,33,87.3,26,1.4,39,28,96,35,47.1,825,1493
Senne Lynen,Werder Bremen,de Bundesliga,MF,2733,0,1.1,1.1,1,0.6,0.79,0.1,9,91,28,82.9,8,1.1,39,65,137,75,42.9,849,1717
Ian Maatsen,Aston Villa,eng Premier League,DF,1139,1,0.9,0.9,2,2.7,1.5,0.4,31,50,104,81.5,19,2.4,17,15,44,39,44.8,505,917
Alexis Mac Allister,Liverpool,eng Premier League,MF,2599,5,2.8,2.8,5,4.7,1.32,0.45,36,177,80,83.5,45,5.6,58,22,117,29,38.1,914,1860
Shuto Machino,Holstein Kiel,de Bundesliga,"FW,MF",1953,11,6.5,4.9,2,3.0,2.26,0.97,30,59,108,64.2,27,2.6,5,7,15,28,55.6,449,899
James Maddison,Tottenham,eng Premier League,MF,1809,9,5.8,5.8,7,4.2,1.94,0.85,45,164,95,81.3,41,5.9,19,12,43,19,42.9,1026,1464
Noni Madueke,Chelsea,eng Premier League,FW,2033,7,9.6,9.6,3,4.2,3.54,1.33,154,69,226,77.4,32,3.2,18,10,35,11,44.1,641,980
Gabriel Magalhães,Arsenal,eng Premier League,DF,2363,3,2.6,2.6,1,0.9,0.84,0.19,10,126,11,90.2,13,1.2,15,16,41,93,80.0,1116,1873
Harry Maguire,Manchester Utd,eng Premier League,DF,1758,1,1.8,1.8,0,0.6,0.77,0.31,7,51,7,85.5,9,0.3,15,40,70,78,40.0,782,1328
Arne Maier,Augsburg,de Bundesliga,MF,938,0,1.5,1.5,0,1.5,1.73,0.58,19,44,56,76.5,25,2.6,7,6,19,14,43.8,390,699
Patrick Mainka,Heidenheim,de Bundesliga,DF,3060,1,1.9,1.9,1,0.3,0.74,0.24,21,102,12,85.4,7,0.7,30,68,126,206,54.5,1171,2136
Kobbie Mainoo,Manchester Utd,eng Premier League,MF,1651,0,0.7,0.7,0,1.6,0.82,0.11,22,65,47,86.5,14,1.8,29,19,65,14,46.0,652,1061
Jordy Makengo,Freiburg,de Bundesliga,DF,745,0,0.0,0.0,0,0.2,0.0,0.0,9,15,35,79.1,2,0.5,9,7,23,29,33.3,203,393
Donyell Malen,Dortmund,de Bundesliga,"FW,MF",614,3,2.9,2.9,0,0.2,2.79,0.88,23,17,75,71.6,1,0.5,0,3,3,6,34.4,187,278
Lennard Maloney,Heidenheim,de Bundesliga,MF,760,0,0.3,0.3,0,0.0,0.36,0.0,1,14,0,71.6,1,0.1,11,14,34,38,25.0,147,378
Orel Mangala,Everton,eng Premier League,MF,1261,1,1.1,1.1,0,0.6,1.14,0.43,6,34,19,89.2,8,0.6,8,21,37,24,58.3,298,621
Ryan Manning,Southampton,eng Premier League,"DF,MF",1462,0,0.3,0.3,1,3.2,0.49,0.06,14,35,74,77.1,34,2.8,17,17,45,47,30.6,483,968
Omar Marmoush,Manchester City,eng Premier League,"FW,MF",1175,7,5.5,5.5,0,2.8,3.75,1.3,29,37,78,79.2,15,2.1,8,6,19,3,43.5,320,504
Omar Marmoush,Eint Frankfurt,de Bundesliga,FW,1448,15,8.8,7.3,9,6.2,4.66,2.11,73,50,125,69.8,34,4.1,8,2,14,2,45.5,442,671
Gabriel Martinelli,Arsenal,eng Premier League,"FW,MF",2290,8,7.4,7.4,4,5.0,2.16,0.94,124,52,289,71.4,40,4.7,15,5,28,19,30.3,670,994
Emiliano Martínez,Aston Villa,eng Premier League,GK,3194,0,0.0,0.0,0,0.5,0.0,0.0,0,4,0,78.7,2,0.1,3,0,3,17,100.0,889,1449
Lisandro Martínez,Manchester Utd,eng Premier League,DF,1751,2,1.3,1.3,1,1.1,0.87,0.31,23,117,7,89.4,9,1.3,24,32,72,57,85.7,1017,1524
Giorgos Masouras,Bochum,de Bundesliga,"FW,MF",1055,2,3.9,3.9,1,1.1,2.56,1.28,26,19,82,70.4,10,1.1,10,4,22,3,35.7,220,403
Erhan Mašović,Bochum,de Bundesliga,DF,910,1,0.6,0.6,1,0.9,0.69,0.4,1,35,4,82.7,3,0.5,10,12,26,55,0.0,290,539
Pape Matar Sarr,Tottenham,eng Premier League,MF,1913,3,3.7,3.7,2,1.6,1.6,0.61,33,88,53,86.4,15,0.8,36,30,79,25,36.7,772,1253
Jean-Philippe Mateta,Crystal Palace,eng Premier League,FW,2648,14,13.5,11.9,2,3.2,2.31,0.99,45,52,122,65.1,29,2.3,12,2,20,23,43.5,400,739
Chrislain Matsima,Augsburg,de Bundesliga,DF,2551,1,1.8,1.8,1,0.3,0.49,0.07,14,84,13,86.0,5,0.7,20,52,83,163,58.3,910,1669
Jean Mattéo Bahoya,Eint Frankfurt,de Bundesliga,"MF,FW",921,2,1.9,1.9,3,1.7,0.98,0.29,24,28,93,74.3,18,2.3,18,4,33,10,56.7,267,475
Stephy Mavididi,Leicester City,eng Premier League,FW,1615,4,1.8,1.8,1,2.6,1.45,0.39,91,57,138,75.0,22,3.3,19,11,45,15,36.8,583,863
Konstantinos Mavropanos,West Ham,eng Premier League,DF,2045,0,1.5,1.5,0,0.5,0.79,0.22,17,61,2,86.3,5,0.4,24,40,75,126,52.9,864,1532
Noussair Mazraoui,Manchester Utd,eng Premier League,DF,2838,0,0.7,0.7,1,1.5,0.41,0.1,42,115,58,85.7,20,1.9,68,34,149,95,54.2,1172,2139
Bryan Mbeumo,Brentford,eng Premier League,FW,3414,20,12.3,7.5,7,8.3,2.08,0.9,130,141,351,66.1,70,9.3,31,14,63,55,46.8,1077,1781
Kasey McAteer,Leicester City,eng Premier League,FW,852,1,1.0,1.0,1,0.7,1.37,0.74,19,14,71,72.6,9,0.6,16,5,28,15,24.0,224,379
John McGinn,Aston Villa,eng Premier League,"MF,FW",2223,1,3.1,2.8,4,3.5,1.26,0.2,32,103,87,81.9,31,2.7,24,14,47,18,42.6,581,1072
Dwight McNeil,Everton,eng Premier League,"MF,FW",1371,4,1.1,1.1,6,5.2,1.64,0.66,38,69,80,74.5,37,4.3,8,6,19,2,53.3,443,748
Jakov Medić,Bochum,de Bundesliga,DF,1603,1,0.9,0.9,0,0.2,0.79,0.17,2,27,3,87.4,3,0.5,11,22,35,111,66.7,498,975
Mikel Merino,Arsenal,eng Premier League,"MF,FW",1586,7,5.9,5.9,2,2.0,2.16,0.74,11,69,94,78.2,17,1.2,28,15,61,26,39.1,388,783
Karol Mets,St. Pauli,de Bundesliga,DF,900,0,0.1,0.1,0,0.2,0.3,0.0,5,54,2,83.4,3,0.4,8,12,25,60,0.0,343,736
Nikola Milenković,Nott'ham Forest,eng Premier League,DF,3330,5,4.0,4.0,2,1.1,0.78,0.22,3,51,6,82.3,9,0.5,29,27,78,209,100.0,547,1412
Enzo Millot,Stuttgart,de Bundesliga,"MF,FW",1843,6,7.6,6.7,5,3.1,2.1,0.83,44,118,123,84.8,23,3.5,13,13,43,6,46.3,848,1397
Kim Min-jae,Bayern Munich,de Bundesliga,DF,2283,2,1.6,1.6,0,0.3,0.28,0.2,16,181,5,92.5,6,0.9,20,37,72,91,60.0,1644,2764
Tyrone Mings,Aston Villa,eng Premier League,DF,1120,0,0.8,0.8,0,0.2,0.72,0.08,7,40,1,88.2,3,0.2,6,7,14,61,66.7,484,794
Yankuba Minteh,Brighton,eng Premier League,"FW,MF",1838,6,4.1,4.1,4,5.0,1.66,0.78,90,48,201,62.5,29,5.0,35,11,59,31,46.9,481,836
Tyrick Mitchell,Crystal Palace,eng Premier League,DF,3092,0,1.3,1.3,5,6.4,0.35,0.09,63,70,171,72.0,41,3.7,55,19,110,108,42.1,820,1754
Kaoru Mitoma,Brighton,eng Premier League,"FW,MF",2603,10,9.2,9.2,4,4.6,1.97,0.93,146,89,291,75.8,37,4.0,27,14,59,10,39.7,830,1375
Maximilian Mittelstädt,Stuttgart,de Bundesliga,DF,2469,1,0.9,0.9,7,4.7,0.77,0.15,62,182,155,83.4,47,7.0,54,47,126,96,55.3,1251,2385
Morato,Nott'ham Forest,eng Premier League,DF,907,0,0.2,0.2,0,0.0,0.2,0.1,1,19,1,77.0,0,0.0,14,10,32,78,100.0,164,457
Álex Moreno,Nott'ham Forest,eng Premier League,"DF,MF",955,0,0.2,0.2,1,1.3,0.57,0.0,26,34,34,72.0,8,1.1,18,15,40,43,38.1,229,559
Sam Morsy,Ipswich Town,eng Premier League,MF,2751,1,0.4,0.4,1,1.2,0.43,0.1,22,120,13,86.4,24,1.5,41,29,97,47,58.6,852,1683
Mason Mount,Manchester Utd,eng Premier League,MF,622,1,3.2,3.2,0,0.6,2.89,1.3,15,33,41,81.8,8,0.6,5,4,19,4,10.0,215,339
Nordi Mukiele,Leverkusen,de Bundesliga,DF,899,1,1.4,1.4,0,1.0,0.7,0.3,20,36,28,80.4,9,0.9,16,16,36,37,52.9,363,725
Florian Müller,Freiburg,de Bundesliga,GK,753,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,63.2,0,0.0,0,0,0,3,,190,337
Kevin Müller,Heidenheim,de Bundesliga,GK,2939,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,75.6,0,0.1,2,0,3,13,,779,1393
Thomas Müller,Bayern Munich,de Bundesliga,"MF,FW",1225,1,3.8,3.8,4,2.9,2.2,0.81,24,50,143,75.0,35,4.1,5,2,10,14,47.1,386,763
Marshall Munetsi,Wolves,eng Premier League,"MF,FW",1078,2,3.3,3.3,1,1.8,1.84,0.58,9,10,35,71.7,9,1.1,10,6,30,18,27.3,148,364
Rodrigo Muniz,Fulham,eng Premier League,FW,964,8,5.8,5.8,1,0.7,3.64,1.77,6,27,31,64.8,7,0.2,5,5,15,14,33.3,157,311
Daniel Muñoz,Crystal Palace,eng Premier League,DF,3228,4,4.9,4.9,5,5.5,1.03,0.39,62,97,206,75.7,46,3.6,80,44,167,108,37.5,806,2010
Arijanet Muric,Ipswich Town,eng Premier League,GK,1620,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,71.7,0,0.0,0,0,0,10,,405,689
Murillo,Nott'ham Forest,eng Premier League,DF,3188,2,1.4,1.4,0,1.2,0.71,0.17,22,115,5,78.5,13,1.1,36,36,89,249,73.0,821,1918
Jacob Murphy,Newcastle Utd,eng Premier League,FW,2360,8,5.7,5.7,12,8.9,1.64,0.57,79,83,231,68.5,42,6.2,19,13,41,35,50.7,733,1271
Jamal Musiala,Bayern Munich,de Bundesliga,MF,1798,12,9.3,9.3,2,4.5,3.4,1.55,71,107,156,82.6,41,5.9,21,8,44,5,51.1,792,1278
Phillipp Mwene,Mainz 05,de Bundesliga,DF,2607,1,1.5,1.5,4,1.9,0.72,0.14,62,106,144,75.0,22,3.8,29,24,75,51,44.0,775,1555
Vitaliy Mykolenko,Everton,eng Premier League,DF,3082,1,0.5,0.5,2,2.6,0.41,0.03,33,110,99,74.6,24,2.2,38,44,107,145,40.0,697,1678
Joakim Mæhle,Wolfsburg,de Bundesliga,DF,2188,3,2.0,2.0,4,2.2,0.74,0.29,59,88,117,80.9,20,3.1,15,25,59,57,31.7,791,1464
Nathan N'Goumou,Gladbach,de Bundesliga,FW,828,2,1.9,1.9,1,1.3,2.61,1.41,30,16,85,73.6,6,1.3,11,4,21,16,33.3,215,386
Stanley N'Soki,Hoffenheim,de Bundesliga,DF,1308,0,0.1,0.1,0,0.4,0.21,0.07,10,52,6,85.8,7,0.4,16,26,48,58,68.8,529,1005
Iliman Ndiaye,Everton,eng Premier League,FW,2430,9,6.2,4.7,0,1.9,1.3,0.56,86,59,122,81.8,18,1.4,28,20,73,24,47.6,621,1084
Wilfred Ndidi,Leicester City,eng Premier League,MF,2324,0,2.0,2.0,5,1.9,0.85,0.31,18,70,75,80.3,17,1.5,51,31,116,80,39.4,670,1400
Paul Nebel,Mainz 05,de Bundesliga,MF,2345,10,5.8,5.8,4,4.1,1.69,0.69,67,91,219,73.1,35,5.6,24,13,51,30,39.1,894,1516
David Nemeth,St. Pauli,de Bundesliga,DF,2137,0,0.2,0.2,1,0.1,0.21,0.04,14,65,5,86.4,3,0.3,29,18,61,94,44.4,697,1338
Pedro Neto,Chelsea,eng Premier League,FW,2269,4,3.5,3.5,6,6.7,2.34,0.67,126,60,253,78.4,46,4.8,9,9,32,6,32.7,746,1153
Luca Netz,Gladbach,de Bundesliga,DF,969,0,0.2,0.2,2,1.9,0.28,0.0,16,28,55,81.1,16,1.0,14,10,34,36,28.6,288,666
Manuel Neuer,Bayern Munich,de Bundesliga,GK,1980,0,0.0,0.0,0,0.5,0.0,0.0,0,10,0,86.0,1,0.1,0,0,1,9,100.0,638,956
Moritz Nicolas,Gladbach,de Bundesliga,GK,1639,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,84.3,0,0.0,0,1,1,8,,575,838
Justin Njinmah,Werder Bremen,de Bundesliga,"FW,MF",952,3,3.7,3.7,2,1.6,2.93,0.76,33,23,103,61.7,12,1.5,2,3,9,1,40.7,230,349
Eddie Nketiah,Crystal Palace,eng Premier League,"FW,MF",1034,3,5.8,5.8,1,1.7,3.74,1.39,41,19,79,74.3,13,0.9,8,3,18,12,35.5,246,412
Christopher Nkunku,Chelsea,eng Premier League,FW,921,3,4.8,4.8,2,2.1,2.44,1.07,17,25,68,89.5,14,1.0,8,7,19,10,37.0,280,448
Felix Nmecha,Dortmund,de Bundesliga,MF,1509,4,1.3,1.3,1,1.1,1.07,0.36,21,85,27,87.9,14,1.1,22,23,57,30,65.4,632,1083
Alexander Nübel,Stuttgart,de Bundesliga,GK,3060,0,0.0,0.0,1,0.3,0.0,0.0,0,0,0,77.0,3,0.2,0,0,0,18,100.0,823,1377
Matheus Nunes,Manchester City,eng Premier League,"DF,MF",1674,1,1.2,1.2,6,4.4,0.48,0.22,63,79,175,86.3,23,3.3,22,15,50,38,46.3,866,1416
Darwin Núñez,Liverpool,eng Premier League,FW,1133,5,5.8,5.8,2,1.3,2.7,1.03,23,27,78,70.9,11,0.5,18,4,25,12,34.8,201,366
Antonio Nusa,RB Leipzig,de Bundesliga,"MF,DF",1558,3,1.6,1.6,3,2.8,1.39,0.4,57,52,123,74.2,20,2.6,17,8,38,11,45.3,480,802
Ethan Nwaneri,Arsenal,eng Premier League,"FW,MF",895,4,1.2,1.2,2,1.2,2.41,0.91,46,33,113,80.5,16,1.8,7,2,13,4,59.7,365,544
Christian Nørgaard,Brentford,eng Premier League,MF,2819,5,4.3,4.3,4,1.3,1.25,0.48,14,154,42,81.6,18,1.4,49,49,128,70,50.0,826,1802
Jake O'Brien,Everton,eng Premier League,DF,1571,2,0.8,0.8,0,0.6,0.34,0.17,7,50,25,79.6,6,0.3,17,4,30,93,40.0,391,900
Matt O'Riley,Brighton,eng Premier League,MF,938,2,2.8,2.0,2,2.4,2.01,0.58,22,38,52,76.5,21,2.0,9,13,29,9,61.5,275,525
Dara O'Shea,Ipswich Town,eng Premier League,DF,3122,0,1.3,1.3,2,0.5,0.63,0.06,3,80,8,78.2,3,0.7,31,33,82,225,50.0,897,2022
Wilson Odobert,Tottenham,eng Premier League,"FW,MF",850,1,1.6,1.6,0,1.0,1.38,0.42,45,27,66,77.4,6,0.8,5,4,18,5,37.5,265,381
Tim Oermann,Bochum,de Bundesliga,DF,2213,0,0.2,0.2,2,0.6,0.37,0.0,15,61,16,82.4,7,0.7,31,22,72,64,42.9,605,1172
Caleb Okoli,Leicester City,eng Premier League,DF,1125,1,0.6,0.6,0,0.0,0.32,0.16,3,32,2,86.3,0,0.2,14,15,40,79,,468,806
Finn Ole Becker,Hoffenheim,de Bundesliga,MF,670,0,0.1,0.1,1,0.3,0.54,0.27,3,45,7,82.5,8,0.4,5,10,21,20,42.9,256,461
Michael Olise,Bayern Munich,de Bundesliga,"FW,MF",2334,12,9.7,9.7,15,12.0,3.32,1.39,119,184,381,81.4,90,12.5,23,8,44,16,47.7,1305,1957
Jonas Omlin,Gladbach,de Bundesliga,GK,978,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,73.1,0,0.0,0,0,0,5,100.0,353,544
Amadou Onana,Aston Villa,eng Premier League,MF,1617,3,2.1,2.1,0,0.7,0.95,0.33,29,75,16,87.7,10,0.8,30,26,81,41,70.0,553,998
André Onana,Manchester Utd,eng Premier League,GK,3060,0,0.0,0.0,0,0.2,0.0,0.0,0,1,0,72.6,1,0.2,2,0,2,11,100.0,961,1371
Paul Onuachu,Southampton,eng Premier League,FW,1050,4,3.6,3.6,1,0.5,2.91,1.29,7,13,40,60.8,8,0.3,2,1,8,16,30.8,214,440
Frank Onyeka,Augsburg,de Bundesliga,MF,2586,0,1.4,1.4,1,1.3,0.84,0.21,46,106,71,83.6,17,2.0,45,36,94,36,33.3,754,1339
Loïs Openda,RB Leipzig,de Bundesliga,"FW,MF",2453,9,9.0,8.2,5,3.4,2.83,1.14,58,47,229,63.8,28,2.3,4,5,14,12,29.7,521,904
