Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches
Jan Bednarek,Southampton,eng Premier League,DF,2531,2,0.7,0.7,0,0.5,0.18,0.07,5,60,2,92.7,5,0.9,19,56,92,190,100.0,1046,2049
Maximilian Beier,Dortmund,de Bundesliga,"FW,MF",1591,8,7.7,7.7,5,3.3,2.38,0.74,24,33,124,70.5,24,2.5,16,7,32,14,43.1,338,618
Stefan Bell,Mainz 05,de Bundesliga,DF,1436,0,0.8,0.8,1,1.0,0.75,0.19,8,38,5,78.6,5,0.7,12,28,50,107,33.3,415,952
Jean-Ricner Bellegarde,Wolves,eng Premier League,"MF,FW",1677,2,1.5,1.5,7,3.8,1.18,0.27,52,43,89,79.3,27,2.8,24,10,49,18,23.0,528,843
Ramy Bensebaini,Dortmund,de Bundesliga,DF,2022,1,1.3,1.3,6,3.2,0.89,0.09,26,128,58,86.1,15,2.3,25,33,84,86,27.8,941,1766
Rodrigo Bentancur,Tottenham,eng Premier League,MF,1645,2,1.3,1.3,0,0.4,1.2,0.27,28,100,34,87.9,10,1.0,22,40,80,38,47.4,764,1302
Sander Berge,Fulham,eng Premier League,MF,2224,0,0.4,0.4,0,0.6,0.12,0.04,29,124,9,91.5,18,0.6,30,21,71,38,55.0,804,1384
Lucas Bergvall,Tottenham,eng Premier League,MF,1212,0,0.7,0.7,1,0.6,0.89,0.15,33,49,31,87.4,11,0.8,19,24,63,22,46.7,531,885
Bernardo,Bochum,de Bundesliga,DF,1782,0,0.7,0.7,0,0.7,0.4,0.1,14,100,14,73.7,4,1.7,28,26,72,103,60.0,630,1249
Alexander Bernhardsson,Holstein Kiel,de Bundesliga,"FW,MF",1263,7,4.1,4.1,2,1.3,1.92,1.0,25,33,72,60.5,17,1.2,15,5,34,25,41.5,264,520
Victor Bernth Kristiansen,Leicester City,eng Premier League,DF,2482,0,0.3,0.3,1,1.4,0.11,0.0,40,70,78,77.4,18,1.7,51,42,129,75,44.4,816,1614
Matúš Bero,Bochum,de Bundesliga,MF,2565,5,4.0,3.0,2,3.7,1.09,0.42,29,143,111,67.9,54,3.8,35,17,82,35,34.5,736,1619
Beto,Everton,eng Premier League,FW,1534,8,8.2,8.2,0,1.2,2.87,1.35,15,16,77,58.2,12,0.5,6,4,18,24,50.0,267,520
Tom Bischof,Hoffenheim,de Bundesliga,"MF,FW",2559,5,2.2,2.2,2,3.6,1.79,0.63,47,138,102,78.7,50,4.8,53,30,125,53,45.3,962,1951
Yves Bissouma,Tottenham,eng Premier League,MF,1408,2,0.6,0.6,0,0.3,0.7,0.26,15,75,3,88.6,6,0.6,31,18,67,40,31.8,610,1039
Leonardo Bittencourt,Werder Bremen,de Bundesliga,MF,982,2,1.6,1.6,1,1.6,2.47,0.82,19,64,38,84.0,14,1.9,9,15,40,11,20.0,530,801
Myron Boadu,Bochum,de Bundesliga,FW,1042,9,7.7,6.9,1,1.1,2.33,1.12,12,18,70,71.3,11,1.6,1,1,3,4,47.8,179,287
Victor Boniface,Leverkusen,de Bundesliga,FW,1008,8,7.8,7.1,1,1.1,4.46,1.52,26,23,61,70.2,10,1.0,4,0,5,5,42.9,207,400
Sebastiaan Bornauw,Wolfsburg,de Bundesliga,DF,788,2,1.2,1.2,1,0.5,0.91,0.34,3,21,1,81.8,1,0.1,6,12,21,36,0.0,206,428
Carlo Boukhalfa,St. Pauli,de Bundesliga,MF,1646,2,1.5,1.5,0,1.1,1.15,0.22,10,41,44,71.3,11,1.1,11,12,38,25,42.9,290,651
Jarrod Bowen,West Ham,eng Premier League,"FW,MF",2973,13,8.6,7.8,8,6.8,2.6,1.09,109,91,212,71.7,51,6.5,26,16,57,25,33.8,741,1252
Conor Bradley,Liverpool,eng Premier League,DF,754,0,0.7,0.7,2,1.4,1.19,0.36,35,33,39,83.8,7,1.4,10,4,18,31,40.0,369,663
Julian Brandt,Dortmund,de Bundesliga,MF,2303,5,4.8,4.8,10,8.5,1.76,0.59,61,149,199,78.8,61,6.6,11,14,40,13,35.2,869,1455
Jarrad Branthwaite,Everton,eng Premier League,DF,2511,0,1.2,1.2,1,0.7,0.36,0.11,10,66,2,82.1,3,0.6,20,27,63,191,50.0,747,1520
James Bree,Southampton,eng Premier League,DF,1075,0,0.1,0.1,1,0.9,0.33,0.08,13,34,43,83.5,10,0.7,14,9,28,29,50.0,363,694
Nathan Broadhead,Ipswich Town,eng Premier League,"MF,FW",702,2,1.7,1.7,0,0.7,1.67,1.03,20,14,33,78.1,7,1.1,4,4,13,5,50.0,174,317
David Brooks,Bournemouth,eng Premier League,"FW,MF",960,2,2.5,2.5,0,1.9,2.34,1.13,35,35,83,75.4,20,2.0,6,5,19,9,32.4,342,545
Moritz Broschinski,Bochum,de Bundesliga,"FW,MF",1390,1,4.2,4.2,3,1.8,2.46,0.71,37,20,130,63.4,13,1.5,14,1,20,18,26.4,322,552
Nathaniel Brown,Eint Frankfurt,de Bundesliga,"DF,MF",1947,3,2.2,2.2,6,5.1,0.6,0.23,45,63,119,80.7,39,4.6,42,15,86,55,33.3,600,1174
Santiago Bueno,Wolves,eng Premier League,DF,1687,0,0.4,0.4,0,0.0,0.32,0.16,1,28,1,88.0,0,0.1,21,15,56,70,0.0,555,1025
Marius Bülter,Hoffenheim,de Bundesliga,"FW,DF",1729,7,3.7,3.7,2,3.1,1.93,0.78,57,35,155,67.2,22,3.4,10,4,17,14,51.1,511,774
Facundo Buonanotte,Leicester City,eng Premier League,"FW,MF",1523,5,3.9,3.9,2,3.1,2.13,0.71,39,54,74,76.4,24,2.3,32,12,65,14,33.7,479,874
Cameron Burgess,Ipswich Town,eng Premier League,DF,1541,0,1.1,1.1,2,0.5,0.58,0.12,2,42,4,80.9,7,0.4,12,14,31,128,,430,982
Jonathan Burkardt,Mainz 05,de Bundesliga,FW,2109,18,14.8,13.2,2,3.1,2.99,1.19,32,42,157,72.5,20,2.7,8,1,16,14,41.0,447,788
Oliver Burke,Werder Bremen,de Bundesliga,FW,908,5,4.1,4.1,0,1.7,3.47,1.19,22,15,88,59.9,14,1.1,4,2,13,6,58.3,246,440
Dan Burn,Newcastle Utd,eng Premier League,DF,3330,1,2.0,2.0,1,0.9,0.62,0.19,12,75,14,88.4,9,1.1,24,27,66,197,75.0,1346,2386
