player,moving_from,moving_to,fee,date,register_country
Benjamin Uphoff,Hansa Rostock,Eintracht Braunschweig,fromHansa Rostock,Summer 2026,Germany
Nick Bodon,Schalke 04youth,Eintracht Braunschweig,fromSchalke 04youth,Summer 2026,Germany
Damjan Kovačević,TSV Hartberg,Eintracht Braunschweig,fromTSV Hartberg,Summer 2026,Germany
Patrick Nkoa,Eintracht Braunschweig,RAAL La Louvière,toRAAL La Louvière,Summer 2026,Germany
Fabio Kaufmann,Eintracht Braunschweig,BG Pathum United,toBG Pathum United,Summer 2026,Germany
Erencan Yardımcı,Eintracht Braunschweig,TSG Hoffenheim,loan return toTSG Hoffenheim,Summer 2026,Germany
Faride Alidou,Eintracht Braunschweig,1. FC Kaiserslautern,loan return to1. FC Kaiserslautern,Summer 2026,Germany
Elhan Kastrati,Eintracht Braunschweig,Athens Kallithea,toAthens Kallithea,Summer 2026,Germany
Grant-Leon Ranos,Eintracht Braunschweig,Borussia Mönchengladbach,loan return toBorussia Mönchengladbach,Summer 2026,Germany
Marko Rajkovačić,Eintracht Braunschweig,Würzburger Kickers,toWürzburger Kickers,Summer 2026,Germany
Ken Izekor,Eintracht Braunschweig,Bayer Leverkusen,loan return toBayer Leverkusen,Summer 2026,Germany
Jona Borsum,Eintracht Braunschweig,SV Meppen,"on loan toSV Meppen, previously on loan atKickers Offenbach",Summer 2026,Germany
Justin Duda,Eintracht Braunschweig,1. FC Lokomotive Leipzig,"to1. FC Lokomotive Leipzig, previously on loan atSG Barockstadt",Summer 2026,Germany
Walid Ould-Chikh,Eintracht Braunschweig,Heracles Almelo,"toHeracles Almelo, previously on loan",Summer 2026,Germany
Shinta Appelkamp,Fortuna Düsseldorf,Greuther Fürth,fromFortuna Düsseldorf,Summer 2026,Germany
Ole Pohlmann,Rio Ave,Greuther Fürth,fromRio Ave,Summer 2026,Germany
Omar Megeed,Hamburger SV II,Greuther Fürth,fromHamburger SV II,Summer 2026,Germany
Benjamin Zank,Viktoria Köln,Greuther Fürth,fromViktoria Köln,Summer 2026,Germany
Krisztián Keresztes,Nyíregyháza,Greuther Fürth,"on loan fromNyíregyháza, previously on loan atDundee United",Summer 2026,Germany
Christian Ortag,SSV Ulm,Greuther Fürth,fromSSV Ulm,Summer 2026,Germany
Philipp Ziereis,Greuther Fürth,Melbourne Victory,toMelbourne Victory,Summer 2026,Germany
Reno Münz,Greuther Fürth,Westerlo,toWesterlo,Summer 2026,Germany
Aiman Dardari,Greuther Fürth,FC Augsburg,loan return toFC Augsburg,Summer 2026,Germany
Jomaine Consbruch,Greuther Fürth,Fortuna Düsseldorf,toFortuna Düsseldorf,Summer 2026,Germany
Felix Higl,Greuther Fürth,Preußen Münster,toPreußen Münster,Summer 2026,Germany
Timo Schlieck,Greuther Fürth,RB Leipzig,loan return toRB Leipzig,Summer 2026,Germany
Juan Ignacio Cabrera,Greuther Fürth,Vaduz,toVaduz,Summer 2026,Germany
Brynjar Ingi Bjarnason,Greuther Fürth,Sønderjyske,toSønderjyske,Summer 2026,Germany
Maximilian Dietz,Greuther Fürth,Górnik Zabrze,toGórnik Zabrze,Summer 2026,Germany
David Abrangao,Greuther Fürth,Würzburger Kickers,on loan toWürzburger Kickers,Summer 2026,Germany
Keyan Varela,Greuther Fürth,Servette,loan return toServette,Summer 2026,Germany
Sayfallah Ltaief,Greuther Fürth,Twente,loan return toTwente,Summer 2026,Germany
Matti Wagner,Greuther Fürth,Alemannia Aachen,"toAlemannia Aachen, previously on loan",Summer 2026,Germany
Mathias Olesen,Greuther Fürth,Sønderjyske,"toSønderjyske, previously on loan atGrazer AK",Summer 2026,Germany
Joel Abu Hanna,Levadiakos,VfL Osnabrück,fromLevadiakos,Summer 2026,Germany
Jonathan Wensing,SV Meppen,VfL Osnabrück,fromSV Meppen,Summer 2026,Germany
Leonhard Münst,Viktoria Köln,VfL Osnabrück,fromViktoria Köln,Summer 2026,Germany
Luca Raimund,Fortuna Düsseldorf,VfL Osnabrück,fromFortuna Düsseldorf,Summer 2026,Germany
Lukas Bornschein,Hamburger SV II,VfL Osnabrück,fromHamburger SV II,Summer 2026,Germany
Konrad Faber,St. Gallen,VfL Osnabrück,"fromSt. Gallen, previously on loan atDynamo Dresden",Summer 2026,Germany
Frederik Christensen,VfL Osnabrück,Brommapojkarna,loan return toBrommapojkarna,Summer 2026,Germany
Julian Kania,VfL Osnabrück,Arminia Bielefeld,loan return toArminia Bielefeld,Summer 2026,Germany
