player,moving_from,moving_to,fee,date,register_country
Harry Howell,Brighton & Hove Albion,Leicester City,,30 June 2027[834],England
Max Alleyne,Manchester City,Burnley,,30 June 2027[837],England
Calum Scanlon,Liverpool,Cardiff City,,30 June 2027[848],England
Kai Jennings,AFC Wimbledon,Crawley Town,,30 June 2027[849],England
Emeka Adiele,Utrecht,Burton Albion,,30 June 2027[851],England
Sebastiaan Bornauw,Leeds United,Hamburger SV,,30 June 2027[855],England
Ryan Barnett,Wrexham,Milton Keynes Dons,,30 June 2027[861],England
Sontje Hansen,Middlesbrough,Gaziantep,,30 June 2027[867],England
Benoît Badiashile,Chelsea,Napoli,,30 June 2027[876],England
Jacob Devaney,Manchester United,Hibernian,,30 June 2027[878],England
Tyreeq Bakinson,Leyton Orient,Plymouth Argyle,,30 June 2027[879],England
Michele Di Gregorio,Juventus,Bournemouth,,30 June 2027[883],England
Ali Al-Hamadi,Ipswich Town,Sheffield Wednesday,,30 June 2027[884],England
Raees Bangura-Williams,Millwall,Cambridge United,,30 June 2027[890],England
Taylor Allen,Wycombe Wanderers,Salford City,,30 June 2027[896],England
Jamie Donley,Tottenham Hotspur,Luton Town,,30 June 2027[906],England
Ben Broggio,Aston Villa,Stevenage,,30 June 2027[909],England
Adam Aznou,Everton,Málaga,,30 June 2027[913],England
George Abbott,Tottenham Hotspur,Mansfield Town,,30 June 2027[922],England
Álex Jiménez,Milan,Bournemouth,Undisclosed,12 February 2026,Italy
Tommaso Pobega,Milan,Bologna,Undisclosed,18 February 2026,Italy
Davide Biraschi,Frosinone,Fatih Karagümrük,Undisclosed,19 May 2026,Italy
Lorenzo Colombo,Milan,Genoa,Undisclosed,21 May 2026,Italy
Donyell Malen,Aston Villa,Roma,Undisclosed,26 May 2026,Italy
Caldiero Terme,Carrarese,Undisclosed,,Filippo Liberati,Italy
Toma Bašić,Lazio,Venezia,Free,27 May 2026,Italy
Issa Doumbia,Venezia,Sporting,Undisclosed,1 June 2026,Italy
Buba Sangaré,Roma,Elche,Undisclosed,3 June 2026,Italy
Man United,Napoli,Undisclosed,,Rasmus Højlund,Italy
Saud Abdulhamid,Roma,Lens,Undisclosed,4 June 2026,Italy
Estoril,Monza,Undisclosed,,Manga Foe-Ondoa,Italy
Aleksandar Stanković,Club Brugge,Inter,Undisclosed,5 June 2026,Italy
Sporting,Napoli,Undisclosed,,Alisson Santos,Italy
Joaquín Sosa,Bologna,Colo-Colo,Loan,10 June 2026,Italy
Stefan Mitrović,Verona,Vojvodina,Loan,11 June 2026,Italy
Marcelo Vaz,Varesina,Genoa,Undisclosed,12 June 2026,Italy
Pisa,Levski Sofia,Loan,,Adrian Raychev,Italy
Nicolò Zaniolo,Galatasaray,Udinese,Undisclosed,15 June 2026,Italy
Nice,Juventus,€4.8M,,Jérémie Boga,Italy
Perugia,Cremonese,Undisclosed,,Adrian Lickūnas,Italy
Tjaš Begić,Parma,Sampdoria,Undisclosed,16 June 2026,Italy
Avellino,Union Brescia,Undisclosed,,Valerio Crespi,Italy
Ruan Tressoldi,Sassuolo,Atlético Mineiro,Undisclosed,17 June 2026,Italy
Torino,Sassuolo,Undisclosed,,Sebastian Walukiewicz,Italy
Cesena,Frosinone,Undisclosed,,Giacomo Calò,Italy
Tommaso Corazza,Bologna,Vicenza,Loan,18 June 2026,Italy
Casa Pia,Mantova,Undisclosed,,Fahem Benaïssa-Yahia,Italy
Răzvan Sava,Udinese,Craiova,Undisclosed,19 June 2026,Italy
Bologna,Montréal,6-month loan,,Thomas Gillier,Italy
Lecce,Juve Next Gen,Undisclosed,,Giacomo Faticanti,Italy
Torino,Mantova,Loan,,Jonathan Silva,Italy
Alessandro Nunziante,Udinese,Arezzo,Loan,21 June 2026,Italy
Bodin Tomasevic,Bologna,Mantova,Loan,22 June 2026,Italy
Leorat Bega,Stade Nyonnais,Verona,Free,24 June 2026,Italy
PSG,Carrarese,Free,,Yanis Khafi,Italy
Perugia,Mantova,Undisclosed,,Luca Gemello,Italy
Joris Manquant,Stade Nyonnais,Modena,Free,25 June 2026,Italy
Cremonese,Fatih Karagümrük,Undisclosed,,Marco Silvestri,Italy
Pisa,Nordsjælland,Undisclosed,,Alexander Lind,Italy
Simone Lontani,Milan,Parma,Free,26 June 2026,Italy
Cesena,Cremonese,Undisclosed,,Tommaso Berti,Italy
Torino,Partizan,Undisclosed,,Demba Seck,Italy
Benjamin Cremaschi,Inter Miami,Parma,Undisclosed,27 June 2026,Italy
Virtus Entella,Latina,Undisclosed,,Iacopo Lipani,Italy
Lech Poznań,Venezia,Undisclosed,,Kornel Lisman,Italy
Alessandro Sersanti,Juve Next Gen,Modena,Undisclosed,28 June 2026,Italy
Ben Godfrey,Atalanta,Rangers,Loan,29 June 2026,Italy
Monopoli,Modena,Undisclosed,,Diego Ronco,Italy
Monopoli,Benevento,Undisclosed,,Emanuele Schimmenti,Italy
Pescara,Venezia,Undisclosed,,Lorenzo Berardi,Italy
Verona,Venezia,Undisclosed,,Armel Bella-Kotchap,Italy
Verona,Servette,Undisclosed,,Mathis Lambourde,Italy
Gonçalo Ramos,PSG,Milan,Undisclosed,30 June 2026,Italy
Parma,Palermo,Free,,Nahuel Estévez,Italy
Cosenza,Juve Stabia,Undisclosed,,Manuel Ricciardi,Italy
Cittadella,Juve Stabia,Undisclosed,,Lorenzo Carissoni,Italy
Südtirol,Juve Stabia,Undisclosed,,Andrea Giorgini,Italy
Bologna,Gubbio,Loan,,Nicola Bagnolini,Italy
Thun,Genoa,Undisclosed,,Ethan Meichtry,Italy
Jeff Ekhator,Genoa,Juventus,"€16,4M",1 July 2026,Italy
Juventus,Parma,Undisclosed,,Giovanni Daffara,Italy
Parma,Dordrecht,Loan,,Dario Šits,Italy
Grêmio,Fiorentina,Undisclosed,,Viery,Italy
Monza,Padova,Undisclosed,,Alessandro Sorrentino,Italy
Lecce,Venezia,Undisclosed,,Þórir Jóhann Helgason,Italy
Roma,Cagliari,Undisclosed,,Alessandro Romano,Italy
Atalanta,Chelsea,Undisclosed,,Marco Palestra,Italy
Lumezzane,Bologna,Undisclosed,,Luigi Caccavo,Italy
Modena,Mantova,Free,,Ettore Gliozzi,Italy
Perugia,Modena,Undisclosed,,Daniele Montevago,Italy
Ferencváros,Sampdoria,Undisclosed,,Stefan Gartenmann,Italy
Reggiana,Arezzo,Free,,Andrea Seculin,Italy
Luis Milla,Getafe,Como,Undisclosed,2 July 2026,Italy
Cruzeiro,Como,Loan,,Kaiki Bruno,Italy
Fiorentina,River Plate,Loan,,Lucas Beltrán,Italy
Juve Next Gen,Genoa,Undisclosed,,David Puczka,Italy
Modena,Genoa,Undisclosed,,Samuel Wiafe,Italy
Genoa,Modena,Undisclosed,,Leonardo Consiglio,Italy
Valencia,Venezia,Free,,Thierry Correia,Italy
Venezia,Brighton,Undisclosed,,Michael Svoboda,Italy
Juve Stabia,Südtirol,Free,,Marco Varnier,Italy
Inter,Parma,Undisclosed,,Franco Carboni,Italy
Cremonese,Pergolettese,Loan,,Emanuele Bassi,Italy
Cremonese,Renate,Loan,,Salvatore Dore,Italy
Alfonso Pedraza,Villarreal,Lazio,Free,3 July 2026,Italy
Sampdoria,Hércules,Loan,,Víctor Narro,Italy
Potenza,Benevento,Free,,Antonis Siatounis,Italy
Bari,Vicenza,Undisclosed,,Gabriele Moncini,Italy
Leonardo Baroncelli,Fiorentina,Gubbio,Undisclosed,4 July 2026,Italy
Everton,Cagliari,Free,,Demi Akarakiri,Italy
Como,Palermo,Undisclosed,,Tommaso Cassandro,Italy
Como,Mantova,Loan,,Federico Chinetti,Italy
Genoa,Železničar Pančevo,Undisclosed,,David Ankeye,Italy
Denzel Dumfries,Inter,Real Madrid,Undisclosed,5 July 2026,Italy
Lecce,Çorum,Undisclosed,,Ylber Ramadani,Italy
America RJ,Benevento,Undisclosed,,Logan Gaspar,Italy
Monza,Palermo,Undisclosed,,Hernani,Italy
Juve Next Gen,Vicenza,Undisclosed,,Alessandro Pietrelli,Italy
Inter,Ascoli,Undisclosed,,Giacomo De Pieri,Italy
Antonio Raimondo,Bologna,Frosinone,Loan,7 July 2026,Italy
Bologna,Frosinone,Loan,,Wisdom Amey,Italy
Cremonese,Folgore Caratese,Loan,,Tommaso Duca,Italy
Cremonese,Ospitaletto,Loan,,Michele Paganetto,Italy
Cremonese,Padova,Undisclosed,,Luca Zanimacchia,Italy
Carrarese,Arezzo,Undisclosed,,Julián Illanes,Italy
Giulio Patrignani,Cremonese,Savona,Loan,8 July 2026,Italy
Athletic Bilbao,Udinese,Undisclosed,,Unai Gómez,Italy
Tottenham,Fiorentina,Loan,,Radu Drăgușin,Italy
Fiorentina,Monza,Loan,,Eddy Kouadio,Italy
Frosinone,Vicenza,Undisclosed,,Riccardo Marchizza,Italy
Lazio,Inter,Undisclosed,,Ivan Provedel,Italy
Inter,AEK Athens,Loan,,Christos Alexiou,Italy
Avellino,Iraklis,Loan,,Michele D'Ausilio,Italy
Avellino,Latina,Loan,,Antonio De Cristofaro,Italy
Venezia,Trento,Loan,,Marco Ladisa,Italy
Villefranche,Mantova,Undisclosed,,Sambaly Keita,Italy
Siracusa,Benevento,Undisclosed,,Alioune Sylla,Italy
Pescara,Sampdoria,Free,,Lorenzo Insigne,Italy
Cremonese,Alcione,Loan,,Lapo Nava,Italy
Cremonese,Lecco,Loan,,Daniele Triacca,Italy
Modena,Pianese,Loan,,Michele Pezzolato,Italy
Gaetano Oristanio,Venezia,Torino,Loan,9 July 2026,Italy
Fiorentina,Deportivo,Undisclosed,,Lorenzo Amatucci,Italy
Sparta Prague,Venezia,Undisclosed,,Albion Rrahmani,Italy
Villefranche,Südtirol,Undisclosed,,Kenny Mixtur,Italy
Inter,Südtirol,Loan,,Giacomo Stabile,Italy
Zaragoza,Venezia,Undisclosed,,Ale Gomes,Italy
Torino,Ascoli,Loan,,Sergiu Perciun,Italy
Cagliari,Atalanta,Undisclosed,,Gianluca Gaetano,Italy
Śląsk Wrocław,Carrarese,Loan,,Tommaso Guercio,Italy
Lazio,Carrarese,Loan,,Pietro Pinelli,Italy
Verona,Casertana,Loan,,Junior Ajayi,Italy
Pescara,Modena,Undisclosed,,Giacomo Olzer,Italy
Gaëtan Coucke,Sampdoria,Cercle Brugge,Undisclosed,10 July 2026,Italy
Cremonese,Torres,Loan,,Mattia Scaringi,Italy
Venezia,Südtirol,Loan,,Alessandro Plizzari,Italy
Fiorentina,Avellino,Loan,,Tommaso Martinelli,Italy
Juve Next Gen,Avellino,Loan,,Brando Moruzzi,Italy
LASK,Genoa,Undisclosed,,Elias Havel,Italy
Lazio,Milan,Undisclosed,,Mario Gila,Italy
Pisa,Benevento,Undisclosed,,Pietro Beruatto,Italy
Cesena,Arezzo,Undisclosed,,Alberto Cerri,Italy
Parma,Carrarese,Loan,,Giacomo Marconi,Italy
Arthur Atta,Udinese,Fiorentina,Undisclosed,11 July 2026,Italy
Casarano,Verona,Undisclosed,,Salvatore Cerbone,Italy
Genoa,Verona,Free,,Nicola Leali,Italy
Venezia,Verona,Loan,,Seid Korać,Italy
Vis Pesaro,Venezia,Undisclosed,,Alessio Pozzi,Italy
Monza,Modena,Undisclosed,,Paulo Azzi,Italy
Newcastle Jets,Cesena,Undisclosed,,Mark Natta,Italy
FC St. Pauli,Sampdoria,Free,,Danel Sinani,Italy
Mantova,Pisa,Undisclosed,,Tommaso Marras,Italy
Catanzaro,Vicenza,Free,,Nicolò Brighenti,Italy
Giorgio Cittadini,Atalanta,Frosinone,Loan,12 July 2026,Italy
Genoa,Frosinone,Loan,,Seydou Fini,Italy
Frosinone,Spezia,Undisclosed,,Abdoulie Ndow,Italy
Jacopo Fazzini,Fiorentina,Cagliari,Loan,13 July 2026,Italy
Fortuna Düsseldorf,Frosinone,Undisclosed,,Anouar El Azzouzi,Italy
Venezia,Spezia,Loan,,Kevin Cannavò,Italy
Parma,Spezia,Loan,,Alessandro Cardinali,Italy
Verona,Spezia,Undisclosed,,Denis Cazzadori,Italy
Atalanta U23,Carrarese,Loan,,Moustapha Cissé,Italy
Casarano,Mantova,Undisclosed,,Ismael Cajazzo,Italy
Inter U23,Mantova,Loan,,Matteo Spinaccè,Italy
Pescara,Ascoli,Undisclosed,,Gennaro Acampora,Italy
Südtirol,Union Brescia,Undisclosed,,Alessandro Mallamo,Italy
Leonardo Sernicola,Cremonese,Benevento,Loan,14 July 2026,Italy
Como,Cremonese,Loan,,Fellipe Jack,Italy
Modena,Cremonese,Undisclosed,,Fabio Gerli,Italy
Karpaty Lviv,Modena,Undisclosed,,Stênio,Italy
Union Berlin,Lazio,Free,,Danilho Doekhi,Italy
Fiorentina,Basel,Undisclosed,,Jonas Harder,Italy
Fiorentina,Cesena,Loan,,Maat Daniel Caprini,Italy
Inter,Avellino,Undisclosed,,Luca Di Maggio,Italy
Empoli,Milan Futuro,Undisclosed,,Edoardo Zanaga,Italy
Empoli,Mantova,Undisclosed,,Lorenzo Ignacchiti,Italy
Union Brescia,Mantova,Undisclosed,,Filippo Vesentini,Italy
Carrarese,Trento,Loan,,Federico Accornero,Italy
Carrarese,Pineto,Loan,,Mateo Scheffer Bracco,Italy
Pineto,Catanzaro,Undisclosed,,Nicolò Postiglione,Italy
Palermo,Virtus Entella,Loan,,Giacomo Corona,Italy
Radomiak,Südtirol,Undisclosed,,Vasco Lopes,Italy
Monza,Spezia,Loan,,Samuele Capolupo,Italy
Verona,Juve Stabia,Undisclosed,,Nicola Patanè,Italy
Harry Winks,Leicester,Cagliari,Undisclosed,15 July 2026,Italy
Bologna,Virtus Entella,Loan,,Mattia Motolese,Italy
Catanzaro,Como,Undisclosed,,Mattia Liberali,Italy
Juve Stabia,Pisa,Undisclosed,,Giuseppe Leone,Italy
Cremonese,Vicenza,Undisclosed,,Frank Tsadjout,Italy
Niklas Pyyhtiä,Bologna,Südtirol,Loan,16 July 2026,Italy
Bologna,Südtirol,Loan,,Riccardo Stivanello,Italy
Bournemouth,Fiorentina,Loan,,Álex Jiménez,Italy
Spezia,Torino,Undisclosed,,Diego Mascardi,Italy
Pineto,Cesena,Undisclosed,,Luca Schirone,Italy
Eindhoven,Juve Stabia,Free,,Terrence Douglas,Italy
Hamed Traorè,OM,Genoa,Loan,17 July 2026,Italy
Sassuolo,Leeds,Undisclosed,,Tarik Muharemović,Italy
Real Madrid,Lazio,Undisclosed,,Bruno Galassi,Italy
Fiorentina,Schalke 04,Loan,,Robin Gosens,Italy
Barcelona,Como,Undisclosed,,Andrés Cuenca,Italy
Mattia Fortin,Lens,Palermo,Loan,18 July 2026,Italy
Palermo,Frosinone,Loan,,Sebastiano Desplanches,Italy
Como,Udinese,Undisclosed,,Mërgim Vojvoda,Italy
Parma,Dolomiti Bellunesi,Loan,,Mateusz Kowalski,Italy
Monza,Sampdoria,Undisclosed,,Luca Ravanelli,Italy
Sparta Rotterdam,Sampdoria,Undisclosed,,Tobias Lauritsen,Italy
Lecce,Cracovia,Loan,,Filip Marchwiński,Italy
Como,SC Freiburg,Undisclosed,,Yannik Engelhardt,Italy
Bologna,Juve Stabia,Loan,,Luigi Caccavo,Italy
Torino,Pergolettese,Loan,,Jacopo Antolini,Italy
Cremonese,Novara,Undisclosed,,Lorenzo Moretti,Italy
Amir Richardson,Fiorentina,Le Havre,Loan,19 July 2026,Italy
Trabzonspor,Fiorentina,Undisclosed,,Christ Inao Oulaï,Italy
Fiorentina,Bari,Loan,,Mirko Elia,Italy
Rahim Alhassane,Real Oviedo,Bologna,Loan,20 July 2026,Italy
Torino,Empoli,Undisclosed,,Francesco Dell'Aquila,Italy
Vicenza,Trento,Undisclosed,,Francesco Benassai,Italy
Filippo Distefano,Fiorentina,Empoli,Undisclosed,21 July 2026,Italy
Fiorentina,Modena,Undisclosed,,Alessandro Bianco,Italy
Lecce,Pineto,Loan,,Marco Delle Monache,Italy
Venezia,Pineto,Undisclosed,,Giovanni Di Renzo,Italy
Venezia,Avellino,Loan,,Daniel Fila,Italy
Ascoli,Ospitaletto,Loan,,Francesco Galuppini,Italy
Arezzo,Pescara,Undisclosed,,Filippo Guccione,Italy
Antonín Barák,Fiorentina,APOEL,Undisclosed,22 July 2026,Italy
Lecce,Mallorca,Loan,,Álex Sala,Italy
Inter,Padova,Loan,,Matteo Cocchi,Italy
Salernitana,Padova,Loan,,Matteo Lovato,Italy
Sevilla,Venezia,Undisclosed,,Akor Adams,Italy
Atalanta,Ascoli,Loan,,Andrea Oliveri,Italy
Vicenza,Arzignano,Loan,,Jacopo Romio,Italy
Monza,Catanzaro,Loan,,Francesco Reita,Italy
Filippo Rinaldi,Parma,Catania,Loan,23 July 2026,Italy
Ascoli,Catania,Loan,,Gabriele Pagliai,Italy
Athens Kallithea,Ascoli,Undisclosed,,Gian Marco Crespi,Italy
Pisa,Genk,Undisclosed,,Rafiu Durosinmi,Italy
Spezia,Vicenza,Free,,Mattia Valoti,Italy
Torino,Juve Stabia,Loan,,Romeo Sandrucci,Italy
Andrea Bozzolan,Reggiana,Palermo,Loan,24 July 2026,Italy
Napoli,Frosinone,Undisclosed,,Luis Hasa,Italy
Cagliari,Pianese,Loan,,Nicola Pintus,Italy
Cagliari,Juve Stabia,Loan,,Francesco Gallea,Italy
Fiorentina,Juve Stabia,Loan,,Giulio Scuderi,Italy
Sporting CP,Monza,Loan,,Ricardo Mangas,Italy
Lazio,Inter U23,Undisclosed,,Alessandro Milani,Italy
Spezia,Catanzaro,Loan,,Antonio Candela,Italy
Enna,Catanzaro,Undisclosed,,Franky Tchaouna,Italy
Cremonese,Iğdır,Undisclosed,,Felix Afena-Gyan,Italy
Mantova,Cremonese,Undisclosed,,Marco Festa,Italy
Cremonese,Livorno,Loan,,Giacomo Gabbiani,Italy
Fratria,Cesena,Undisclosed,,Xavello Druiventak,Italy
Carrarese,Virtus Francavilla,Undisclosed,,Eliman Cham,Italy
Samuele Regazzetti,Cremonese,Livorno,Undisclosed,25 July 2026,Italy
Catanzaro,Cremonese,Undisclosed,,Simone Pontisso,Italy
Cremonese,SJK Akatemia,Undisclosed,,Ange Achi,Italy
Gustavo Varela,Benfica,Monza,Undisclosed,27 July 2026,Italy
Palermo,Südtirol,Loan,,Aljoša Vasić,Italy
Palermo,OFI Crete,Loan,,Dimitrios Nikolaou,Italy
Juve Stabia,Padova,Undisclosed,,Lorenzo Carissoni,Italy
Carrarese,Padova,Undisclosed,,Emanuele Zuelli,Italy
Adrian Benedyczak,Parma,Kasımpaşa,Undisclosed,28 July 2026,Italy
Lecce,Cosenza,Loan,,Ed McJannet,Italy
Juventus,Lyon,Loan,,Loïs Openda,Italy
Nice,Mantova,Undisclosed,,Rareș Ilie,Italy
Verona,Audace Cerignola,Loan,,Adi Kurti,Italy
Cesena,Forlì,Undisclosed,,Federico Valentini,Italy
Sankhoun Diawara,Troyes,Milan,Undisclosed,29 July 2026,Italy
Persib,Palermo,Free,,Federico Barba,Italy
Roma,Cesena,Loan,,Riccardo Pagano,Italy
Fiorentina,Torino,Loan,,Pietro Comuzzo,Italy
Estudiantes,Bologna,Undisclosed,,Mikel Amondarain,Italy
Valencia,Torino,Free,,Eray Cömert,Italy
Fiorentina,Sturm Graz,Undisclosed,,Luis Balbo,Italy
Udinese,Audax Italiano,Loan,,Damián Pizarro,Italy
Roma,Avellino,Undisclosed,,Mattia Della Rocca,Italy
Milan Futuro,Avellino,Undisclosed,,Filippo Scotti,Italy
Avellino,Foggia,Undisclosed,,Gianmarco Todisco,Italy
Avellino,Arezzo,Undisclosed,,Andrea Cagnano,Italy
Palermo,Lommel,Loan,,Stredair Appuah,Italy
Venezia,Beveren,Free,,Cheick Condé,Italy
Alessandro Dellavalle,Torino,Padova,Loan,30 July 2026,Italy
Manchester City,Inter,Free,,John Stones,Italy
Bologna,Roma,Undisclosed,,Santiago Castro,Italy
Roma,Bologna,Loan,,Artem Dovbyk,Italy
Lecce,Südtirol,Loan,,Rareș Burnete,Italy
Fiorentina,Venezia,Loan,,Matías Moreno,Italy
Napoli,Riga,Undisclosed,,Coli Saco,Italy
Cremonese,Foggia,Undisclosed,,Gianluca Saro,Italy
Palermo,Birmingham,Undisclosed,,Kristoffer Lund,Italy
Samuele Mulattieri,Sassuolo,Verona,Loan,31 July 2026,Italy
Verona,Sassuolo,Loan,,Kieron Bowie,Italy
Napoli,Pisa,Loan,,Emanuele Rao,Italy
Al-Ittihad,Genoa,Loan,,Mario Mitaj,Italy
Borussia Dortmund,Parma,Undisclosed,,Ousmane Diallo,Italy
Südtirol,Cagliari,Loan,,Raphael Kofler,Italy
Cagliari,Südtirol,Loan,,Davide Veroli,Italy
Cagliari,Wieczysta Kraków,Undisclosed,,Mateusz Wieteska,Italy
Udinese,Catanzaro,Loan,,Simone Pafundi,Italy
Real Madrid,Fiorentina,Undisclosed,,Víctor Valdepeñas,Italy
Ajax,Torino,Undisclosed,,Kian Fitz-Jim,Italy
Nice,Sampdoria,Undisclosed,,Mattia Viti,Italy
Lechia Gdańsk,Verona,Undisclosed,,Kacper Sezonienko,Italy
Verona,Marítimo,Loan,,Yellu Santiago,Italy
Verona,SJK Akatemia,6-month loan,,Karlson Nwanege,Italy
Kevin Akpoguma,TSG Hoffenheim,Frosinone,Free,1 August 2026,Italy
Inter,Monza,Loan,,Ebenezer Akinsanmiro,Italy
Mechelen,Venezia,Undisclosed,,Redouane Halhal,Italy
VfL Wolfsburg,Roma,Undisclosed,,Konstantinos Koulierakis,Italy
Sampdoria,Vado,Loan,,Lorenzo Malanca,Italy
Carrarese,Pisa,Loan,,Simone Zanon,Italy
Atalanta U23,Palermo,Loan,,Dominic Vavassori,Italy
Kerim Alajbegović,Bayer Leverkusen,Juventus,€32M,2 August 2026,Italy
Paris,Lecce,Undisclosed,,Willem Geubbels,Italy
Udinese,Watford,Loan,,Jordan Zemura,Italy
Cagliari,Cosenza,Loan,,Velizar-Ilia Iliev,Italy
Cagliari,Cosenza,Undisclosed,,Andrea Cogoni,Italy
Paris Saint-Germain,Juventus,€41.2M,,Randal Kolo Muani,Italy
João Mário,Juventus,Fiorentina,Loan,3 August 2026,Italy
Juventus,Sassuolo,Loan,,Vasilije Adžić,Italy
Sampdoria,Real Oviedo,Undisclosed,,Estanis Pedrola,Italy
Pisa,Spezia,Loan,,Mert Durmush,Italy
Alessandro Debenedetti,Genoa,Cesena,Loan,4 August 2026,Italy
Genoa,Celta Fortuna,Loan,,Hugo Cuenca,Italy
Miguel Gutiérrez,Napoli,Bayer Leverkusen,Undisclosed,5 August 2026,Italy
Roma,Deportivo,Loan,,Angeliño,Italy
Lecce,RB Salzburg,Undisclosed,,Christian Früchtl,Italy
Ahmed Sidibé,Venezia,Vitória,Loan,6 August 2026,Italy
Parma,Luzern,Loan,,Daniel Mikołajewski,Italy
Borussia Dortmund,Como,Loan,,Yan Couto,Italy
Sevilla,Genoa,Undisclosed,,Djibril Sow,Italy
Genoa,Cremonese,Undisclosed,,Alessandro Vogliacco,Italy
Olympiacos,Palermo,Undisclosed,,Gabriel Strefezza,Italy
Pisa,Rapid București,Loan,,Filip Stojilković,Italy
Sampdoria,Casertana,Undisclosed,,Stefano Girelli,Italy
Marash Kumbulla,Roma,Rayo Vallecano,Loan,7 August 2026,Italy
Venezia,Südtirol,Undisclosed,,Bjarki Steinn Bjarkason,Italy
Venezia,Vis Pesaro,Undisclosed,,Simone Ascione,Italy
Real Madrid,Fiorentina,Loan,,Franco Mastantuono,Italy
Atalanta,Parma,Loan,,El Bilal Touré,Italy
Bologna,Perugia,Undisclosed,,Dimitar Papazov,Italy
Southampton,Monza,Loan,,Jay Robinson,Italy
Fiorentina,Alavés,Undisclosed,,Nicolás Valentini,Italy
Napoli,Sambenedettese,Loan,,Lorenzo Sgarbi,Italy
Catanzaro,Padova,Undisclosed,,Marco Pompetti,Italy
Lille,Pisa,Undisclosed,,Ichem Ferrah,Italy
Antonio Boccadamo,Virtus Entella,Audace Cerignola,Loan,8 August 2026,Italy
Avellino,Scafatese,Undisclosed,,Claudio Manzi,Italy
Atalanta,Cagliari,Loan,,Daniel Maldini,Italy
Cremonese,Monopoli,Loan,,Marco Cassin,Italy
Patrizio Masini,Genoa,Frosinone,Loan,10 August 2026,Italy
Juventus,Padova,Loan,,Simone Scaglia,Italy
Nice,Cagliari,Loan,,Kevin Carlos,Italy
Spezia,Cagliari,Undisclosed,,Giuseppe Aurelio,Italy
Cagliari,Spezia,Undisclosed,,Giuseppe Ciocci,Italy
Roma,Perugia,Loan,,Radosław Żelezny,Italy
Inter,Cosenza,Undisclosed,,Daniele Quieto,Italy
Verona,Verona,Undisclosed,,Federico Caia,Italy
Atalanta,Las Palmas,Loan,,Giovanni Bonfanti,Italy
Benjamín Domínguez,Bologna,Sassuolo,Loan,11 August 2026,Italy
Empoli,Samsunspor,Undisclosed,,Gabriele Guarino,Italy
Sparta Prague,Sampdoria,Loan,,Peter Vindahl,Italy
Virtus Entella,Novara,Undisclosed,,Marco Nichetti,Italy
Romelu Lukaku,Napoli,Fenerbahçe,Undisclosed,12 August 2026,Italy
Como,1. FSV Mainz 05,Undisclosed,,Stefan Posch,Italy
Braga,Frosinone,Undisclosed,,Florian Grillitsch,Italy
Werder Bremen,Frosinone,Undisclosed,,Romano Schmid,Italy
Atlético Madrid,Roma,Undisclosed,,Nahuel Molina,Italy
Cagliari,ADO Den Haag,Loan,,Othniël Raterink,Italy
Fiorentina,Thun,Undisclosed,,Riccardo Braschi,Italy
Fiorentina,Atalanta U23,Undisclosed,,Gabriele Bertolini,Italy
Juve Stabia,Catanzaro,Undisclosed,,Nicola Mosti,Italy
Napoli,Arezzo,Undisclosed,,Gennaro Iaccarino,Italy
Sevilla,Ascoli,Undisclosed,,Federico Gattoni,Italy
Koper,Mantova,Loan,,Jean-Pierre Longonda,Italy
Roberto Piccoli,Fiorentina,Bologna,Loan,13 August 2026,Italy
Parma,Fiorentina,Undisclosed,,Mateo Pellegrino,Italy
Lecce,La Serena,Loan,,Matías Pérez,Italy
Udinese,Atalanta,Loan,,Thomas Kristensen,Italy
Cesena,Livorno,Loan,,Tommaso Arrigoni,Italy
Lazio,Juve Stabia,Loan,,Saná Fernandes,Italy
Bari,Catanzaro,Loan,,Mehdi Dorval,Italy
Modena,Empoli,Undisclosed,,Cristian Cauz,Italy
Empoli,Cremonese,Undisclosed,,Salvatore Elia,Italy
Davide Frattesi,Inter,Lazio,Loan,14 August 2026,Italy
Inter,Pescara,Undisclosed,,Matteo Motta,Italy
Bologna,Cesena,Loan,,Mihajlo Ilić,Italy
Venezia,Pescara,Undisclosed,,Giorgio Altare,Italy
RB Salzburg,Frosinone,Undisclosed,,Aleksa Terzić,Italy
Tigre,Parma,Undisclosed,,David Romero,Italy
Parma,Groningen,Loan,,Jacob Ondrejka,Italy
Lecce,HJK,Loan,,Jasper Samooja,Italy
Como,Verona,Loan,,Andréa Le Borgne,Italy
Sassuolo,Talleres,Loan,,Agustín Álvarez,Italy
Benfica,Sassuolo,Loan,,Rafael Obrador,Italy
Milan,Lyon,Loan,,Zachary Athekame,Italy
Benevento,Casertana,Undisclosed,,Jacopo Manconi,Italy
Pescara,Juve Stabia,Undisclosed,,Davide Bettella,Italy
Zürich,Carrarese,Undisclosed,,David Vujević,Italy
Südtirol,Empoli,Loan,,Karim Zedadka,Italy
Djed Spence,Tottenham,Inter,Undisclosed,15 August 2026,Italy
Napoli,Latina,Undisclosed,,Antonio Cioffi,Italy
Sassuolo,Górnik Zabrze,Loan,,Janis Antiste,Italy
Sassuolo,Catania,Loan,,Flavio Russo,Italy
Andrea Giorgini,Juve Stabia,Südtirol,Undisclosed,16 August 2026,Italy
Jhon Lucumí,Bologna,Juventus,€20.1M,17 August 2026,Italy
Bologna,1. FC Köln,Loan,,Thijs Dallinga,Italy
