player,team,league,position,age,minutes,goals,assists,xg,xag,npxg,shots_p90,shots_on_target_p90,prog_carries,prog_passes,prog_receptions,key_passes,xa,pass_completion_pct,tackles_won,interceptions,clearances,carries,touches,goals_p90,assists_p90,xg_p90,xag_p90,npxg_p90,prog_carries_p90,prog_passes_p90,prog_receptions_p90,key_passes_p90,xa_p90,tackles_won_p90,interceptions_p90,clearances_p90,carries_p90,touches_p90,goals_zscore,assists_zscore,xg_zscore,xag_zscore,npxg_zscore,prog_carries_zscore,prog_passes_zscore,prog_receptions_zscore,key_passes_zscore,xa_zscore,tackles_won_zscore,interceptions_zscore,clearances_zscore,carries_zscore,touches_zscore,shots_zscore,shots_on_target_zscore,pass_completion_zscore
Conor Gallagher,Chelsea,Premier League,MF,,3128.0,5.0,7.0,4.2,5.0,4.2,,,62.0,172.0,122.0,52.0,,89.2,52.0,43.0,34.0,1453.0,2443.0,0.1438618925831202,0.20140664961636828,0.12084398976982097,0.1438618925831202,0.12084398976982097,1.7838874680306906,4.9488491048593355,3.5102301790281327,1.4961636828644502,,1.4961636828644502,1.2372122762148339,0.9782608695652174,41.80626598465473,70.29092071611254,0.11413773585829118,1.0509329343384353,-0.06116514247169182,0.6397954640378394,-0.00446660940552281,0.15043759028417006,0.7711841983692113,0.06933537090448866,0.9606031902860378,,1.1617033533803174,0.6359769044029682,-0.48105687802673336,0.9504548547193427,0.8875286692503798,,,1.3310942754310384
Malo Gusto,Chelsea,Premier League,DF,,1751.0,0.0,6.0,0.9,4.3,0.9,,,78.0,86.0,135.0,32.0,,86.4,27.0,17.0,43.0,972.0,1641.0,0.0,0.3083952027412907,0.04625928041119361,0.22101656196459166,0.04625928041119361,4.009137635636779,4.420331239291833,6.938892061679041,1.644774414620217,,1.3877784123358081,0.8737864077669902,2.2101656196459163,49.96002284408909,84.34608794974301,-0.7598955881507368,2.062109607114739,-0.5659967691245228,1.5764718597987197,-0.559532132846699,1.7161029583627325,0.5016890016681459,1.1324371907453799,1.1821461626490584,,0.9695312643172737,0.053886415947191096,0.25849209650886484,1.5305981897165597,1.5311318737123254,,,1.0069511893123668
Nicolas Jackson,Chelsea,Premier League,FW,,2799.0,14.0,5.0,18.6,4.3,18.6,,,70.0,67.0,200.0,38.0,,77.3,13.0,4.0,17.0,616.0,998.0,0.45016077170418006,0.1607717041800643,0.5980707395498392,0.1382636655948553,0.5980707395498392,2.2508038585209005,2.1543408360128615,6.430868167202572,1.2218649517684887,,0.4180064308681672,0.12861736334405144,0.5466237942122186,19.807073954983924,32.09003215434084,1.975057418280371,0.6668814846777236,3.1689762423431644,0.5718316308692596,3.5470939979180267,0.4789556297481156,-0.6537563848348706,0.974917684528272,0.5516895439803691,,-0.7499192355935532,-1.1396329526734352,-0.740181421890976,-0.6147971942880137,-0.8617364859034726,,,-0.0465138405733185
Noni Madueke,Chelsea,Premier League,FW,,1053.0,5.0,2.0,2.5,2.6,1.7,,,76.0,52.0,136.0,20.0,,84.8,10.0,4.0,14.0,428.0,666.0,0.42735042735042733,0.17094017094017094,0.21367521367521367,0.2222222222222222,0.14529914529914528,6.495726495726495,4.444444444444445,11.623931623931625,1.7094017094017093,,0.8547008547008547,0.3418803418803419,1.1965811965811965,36.58119658119658,56.92307692307692,1.8364731084306873,0.7629863116465996,0.5671692463236664,1.5911088676905676,0.17753066351338836,3.465643805305198,0.5139845046001397,2.5850954741006436,1.2784899650953265,,0.024360141122425773,-0.7980547599159795,-0.3499927077210607,0.5786889017271637,0.27539884119979363,,,0.8217265686731245
Mykhailo Mudryk,Chelsea,Premier League,FW,,1576.0,5.0,2.0,4.4,4.1,4.4,,,92.0,45.0,139.0,32.0,,68.0,12.0,9.0,9.0,509.0,777.0,0.28553299492385786,0.11421319796954314,0.25126903553299496,0.23413705583756345,0.25126903553299496,5.253807106598985,2.5697969543147208,7.937817258883249,1.8274111675126903,,0.6852791878172589,0.5139593908629442,0.5139593908629442,29.06725888324873,44.37182741116751,0.9748609077250496,0.22684491979008325,0.8216255605435889,1.7357578370449558,0.9661672768013624,2.591840847863324,-0.4419122152868868,1.442167117865417,1.4544137749573394,,-0.2760322968791919,-0.522439878391211,-0.7597908324393082,0.04406897741522144,-0.2993381414052694,,,-1.1231319480389075
Cole Palmer,Chelsea,Premier League,"FW,MF",,2607.0,22.0,11.0,18.2,11.1,11.1,,,117.0,197.0,195.0,72.0,,79.2,12.0,20.0,13.0,1148.0,1754.0,0.7594936708860759,0.37974683544303794,0.6283084004602991,0.383199079401611,0.383199079401611,4.039125431530495,6.800920598388953,6.731875719217491,2.485615650172612,,0.4142692750287687,0.6904487917146145,0.44879171461449946,39.631760644418875,60.55235903337169,3.8544102979256163,2.7364724659924238,3.3736418859431883,3.545406949614747,1.9480014823278342,1.7372020932731727,1.7155692494161783,1.0682490444830481,2.4356388573476955,,-0.7565453854505264,-0.23976104216037808,-0.7989129221457146,0.7957378571682039,0.44158808372215236,,,0.17344039643578107
Đorđe Petrović,Chelsea,Premier League,GK,,1987.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,,78.8,0.0,0.0,12.0,482.0,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04529441368897836,0.0,0.0,,0.0,0.0,0.5435329642677403,21.83190739808757,38.7267237040765,-0.7598955881507368,-0.8526137525328835,-0.8791058229586382,-1.1067227974279588,-0.9037974912057206,-1.1046890781252832,-1.729174866337951,-1.019057774616176,-1.2698181630529466,,-1.4910639379126245,-1.345636295728189,-0.7420369388177133,-0.4707294170968335,-0.5578343069087601,,,0.12713424127597012
Robert Sánchez,Chelsea,Premier League,GK,,1433.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,,82.1,0.0,0.0,11.0,392.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0628053035589672,0.0,0.0,,0.0,0.0,0.6908583391486391,24.61967899511514,40.76064200976971,-0.7598955881507368,-0.8526137525328835,-0.8791058229586382,-1.1067227974279588,-0.9037974912057206,-1.1046890781252832,-1.720245933150695,-1.019057774616176,-1.2698181630529466,,-1.4910639379126245,-1.345636295728189,-0.6535931448400507,-0.2723782595394706,-0.4646987136142336,,,0.5091600213444047
Thiago Silva,Chelsea,Premier League,DF,,2527.0,3.0,1.0,0.8,1.0,0.8,,,2.0,102.0,5.0,9.0,,94.7,15.0,26.0,153.0,1623.0,2549.0,0.10684606252473289,0.03561535417491096,0.028492283339928773,0.03561535417491096,0.028492283339928773,0.07123070834982193,3.632766125840918,0.1780767708745548,0.32053818757419866,,0.5342303126236644,0.9259992085476849,5.449149188761377,57.80371982588049,90.78353779184805,-0.11075204145499336,-0.5160037668619306,-0.6862538849509747,-0.6743437612692713,-0.6917555820515556,-1.0545718127361978,0.10010368357024149,-0.9638427240607218,-0.7919725728182576,,-0.5438489268972458,0.13751440544579904,2.2029500401283495,2.088680630016324,1.8259105325551959,,,1.96780390887843
Raheem Sterling,Chelsea,Premier League,"FW,MF",,1978.0,8.0,4.0,6.5,4.5,6.5,,,120.0,78.0,242.0,30.0,,73.9,10.0,13.0,9.0,744.0,1019.0,0.3640040444893832,0.1820020222446916,0.29575328614762386,0.20475227502527807,0.29575328614762386,5.460060667340748,3.5490394337714863,11.011122345803843,1.365015166835187,,0.455005055611729,0.5915065722952477,0.40950455005055614,33.85237613751264,46.365015166835185,1.4516119851558271,0.8675347485601355,1.122720205697122,1.379019472379177,1.2972227178512419,2.7369589392119775,0.0574108195851184,2.395085878202745,0.7650921950917439,,-0.6843189656052898,-0.3982344196243801,-0.8224981727616996,0.38453214428404225,-0.20806764954142581,,,-0.440116159431705
