player,team,league,position,age,minutes,goals,assists,xg,xag,npxg,shots_p90,shots_on_target_p90,prog_carries,prog_passes,prog_receptions,key_passes,xa,pass_completion_pct,tackles_won,interceptions,clearances,carries,touches,goals_p90,assists_p90,xg_p90,xag_p90,npxg_p90,prog_carries_p90,prog_passes_p90,prog_receptions_p90,key_passes_p90,xa_p90,tackles_won_p90,interceptions_p90,clearances_p90,carries_p90,touches_p90,goals_zscore,assists_zscore,xg_zscore,xag_zscore,npxg_zscore,prog_carries_zscore,prog_passes_zscore,prog_receptions_zscore,key_passes_zscore,xa_zscore,tackles_won_zscore,interceptions_zscore,clearances_zscore,carries_zscore,touches_zscore,shots_zscore,shots_on_target_zscore,pass_completion_zscore,league_lsc,lsc_adj_goals_p90,lsc_adj_assists_p90,lsc_adj_xg_p90,lsc_adj_xag_p90,lsc_adj_npxg_p90,lsc_adj_shots_p90,lsc_adj_shots_on_target_p90,lsc_adj_prog_carries_p90,lsc_adj_prog_passes_p90,lsc_adj_prog_receptions_p90,lsc_adj_key_passes_p90,lsc_adj_xa_p90,lsc_adj_carries_p90,lsc_adj_touches_p90,lsc_adj_tackles_won_p90,lsc_adj_interceptions_p90,lsc_adj_clearances_p90,team_strength_ratio,poss_adj_touches_p90,pos_gk,pos_df,pos_mf,pos_fw,position_primary,age_curve_score,play_style_progressive,play_style_direct_carry,play_style_defensive,shots_p90_pct,shots_on_target_p90_pct,goals_p90_pct,assists_p90_pct,xg_p90_pct,xag_p90_pct,npxg_p90_pct,prog_carries_p90_pct,prog_passes_p90_pct,prog_receptions_p90_pct,key_passes_p90_pct,xa_p90_pct,tackles_won_p90_pct,interceptions_p90_pct,clearances_p90_pct,carries_p90_pct,touches_p90_pct,poss_adj_touches_p90_pct
Marco Friedl,Werder Bremen,Bundesliga,DF,26.0,2161,0,0,0.5,0.2,0.5,0.17,0.12,4,69,1,3,0.4,90.2,42,34,130,1069,1769,0.0,0.0,0.02082369273484498,0.008329477093937991,0.02082369273484498,0.16658954187875985,2.8736695974086066,0.04164738546968996,0.12494215640906987,0.016658954187875982,1.7491901897269784,1.4160111059694587,5.414160111059695,44.521055067098565,73.67422489588154,-0.7696298623010193,-0.9032492487568731,-0.7539379154730351,-1.054210504782084,-0.7716137694703115,-1.10285311897809,-0.2714683342308125,-1.1327404643284102,-1.1510958486863263,-1.0870595830155563,1.8160804711306389,1.1895155519843854,1.5663910751567809,1.3498728910197182,1.0438406761020722,-1.056326853544458,-0.7002017234738945,1.5606255022511508,0.88,0.0,0.0,0.018324849606663585,0.007329939842665432,0.018324849606663585,0.1496,0.1056,0.14659879685330868,2.528829245719574,0.03664969921332717,0.1099490976399815,0.014659879685330864,39.17852845904674,64.83331790837575,1.9877161246897483,1.6091035295107485,6.152454671658744,1.049927410069634,72.9323072283423,0,1,0,0,DF,1.0,0.03900508761959493,0.0037418147800843365,1.5826006478482184,0.09545454545454546,0.2924242424242424,0.16515151515151516,0.1712121212121212,0.15757575757575756,0.10606060606060606,0.16363636363636364,0.11212121212121212,0.42727272727272725,0.08181818181818182,0.10606060606060606,0.10303030303030303,0.9666666666666667,0.8636363636363636,0.9090909090909091,0.9,0.8606060606060606,0.8636363636363636
Marvin Friedrich,Gladbach,Bundesliga,DF,28.0,989,0,1,0.4,0.6,0.4,0.64,0.18,11,36,3,3,0.5,88.4,9,5,57,502,822,0.0,0.0910010111223458,0.03640040444893832,0.05460060667340748,0.03640040444893832,1.0010111223458038,3.276036400404449,0.2730030333670374,0.2730030333670374,0.0455005055611729,0.8190091001011123,0.455005055611729,5.18705763397371,45.68250758341759,74.80283114256825,-0.7696298623010193,-0.079900509741485,-0.6546587075214405,-0.5121372324760524,-0.6617343773845048,-0.37468302605129755,-0.0588701802587669,-1.0591424188345286,-0.9319246306591179,-0.7518661897393116,-0.0978666035456251,-0.5969135137748465,1.4480767761055267,1.4593254263459539,1.1110761108985951,-0.5781262902662541,-0.5561003397842249,1.3438111257105056,0.88,0.0,0.08008088978766431,0.03203235591506572,0.04804853387259858,0.03203235591506572,0.5632,0.15839999999999999,0.8808897876643074,2.8829120323559154,0.2402426693629929,0.2402426693629929,0.040040444893832156,40.20060667340748,65.82649140546006,0.9306921592058095,0.517051199558783,5.8943836749701255,0.9884493326689151,73.7044719439034,0,1,0,0,DF,1.0,0.04379562043737072,0.021912350597129898,0.6370070778564206,0.346969696969697,0.38636363636363635,0.16515151515151516,0.5727272727272728,0.27575757575757576,0.3696969696969697,0.28484848484848485,0.42424242424242425,0.5212121212121212,0.16666666666666666,0.21515151515151515,0.24848484848484848,0.44242424242424244,0.34545454545454546,0.8939393939393939,0.9121212121212121,0.8727272727272727,0.8818181818181818
Jeremie Frimpong,Leverkusen,Bundesliga,"DF,MF",23.0,2314,5,5,4.1,4.2,4.1,1.32,0.62,100,55,272,30,4.7,76.1,25,8,22,673,1205,0.1944684528954192,0.1944684528954192,0.15946413137424373,0.16335350043215213,0.15946413137424373,3.8893690579083837,2.139152981849611,10.579083837510804,1.166810717372515,0.18280034572169404,0.9723422644770959,0.3111495246326707,0.8556611927398443,26.17545375972342,46.866897147796024,0.2716937118510139,0.8562406019047925,0.12969613969971353,0.7619193450990487,0.2063671674448713,2.1458844132127086,-0.6595641596492198,2.21939178070031,0.3911589739393549,0.843817715194483,0.21763278112398549,-0.864328793538751,-0.8084645898596478,-0.37897314182573644,-0.553175415353022,0.1137383544766794,0.5006431406066854,-0.13775378065057312,0.88,0.17113223854796888,0.17113223854796888,0.14032843560933447,0.14375108038029388,0.14032843560933447,1.1616,0.5456,3.4226447709593777,1.8824546240276578,9.309593777009509,1.0267934312878133,0.16086430423509077,23.034399308556612,41.2428694900605,1.1049343914512455,0.35357900526439856,0.9723422644770959,1.312950146058434,44.2818265044219,0,1,1,0,DF,0.8184875533567997,0.04564315352599707,0.14858841009833526,0.6417458945548833,0.646969696969697,0.7318181818181818,0.7363636363636363,0.8151515151515152,0.6818181818181818,0.8181818181818182,0.696969696969697,0.9545454545454546,0.23939393939393938,0.9787878787878788,0.696969696969697,0.8181818181818182,0.5787878787878787,0.2287878787878788,0.24848484848484848,0.41818181818181815,0.34545454545454546,0.27575757575757576
Chris Führich,Stuttgart,Bundesliga,"MF,FW",26.0,1981,2,3,2.9,3.7,2.9,1.64,0.55,114,95,202,32,6.0,80.5,10,6,19,782,1220,0.09086320040383644,0.13629480060575466,0.13175164058556282,0.16809692074709742,0.13175164058556282,5.179202423018677,4.316002019182231,9.17718324078748,1.453811206461383,0.2725896012115093,0.4543160020191822,0.2725896012115093,0.8632004038364463,35.527511357900046,55.426552246340236,-0.28308311811367864,0.3299035572293239,-0.04693126320566543,0.8174892305851852,0.010881002140244114,3.2714762043630996,0.4906154361001877,1.7734240905520111,0.815999404851221,1.8873387393528465,-0.8482616567382051,-0.9360084337942634,-0.8045368631006121,0.5023426246435816,-0.043243688545339505,0.4393217167086479,0.33252485963540435,0.3922369175598943,0.88,0.07995961635537607,0.11993942453306411,0.11594144371529529,0.14792529025744575,0.11594144371529529,1.4431999999999998,0.48400000000000004,4.557698132256436,3.7980817768803634,8.075921251892982,1.2793538616860172,0.23987884906612822,31.26420999495204,48.775365976779405,0.5162681841127071,0.3097609104676243,0.9809095498141436,1.2550712355450642,52.628745452939015,0,0,1,1,MF,1.0,0.07786885245761149,0.14578005114679185,0.36345280161534577,0.7075757575757575,0.706060606060606,0.5242424242424243,0.696969696969697,0.6454545454545455,0.8303030303030303,0.6545454545454545,0.9939393939393939,0.7424242424242424,0.9636363636363636,0.8181818181818182,0.9424242424242424,0.21818181818181817,0.2,0.2515151515151515,0.7575757575757576,0.5151515151515151,0.4575757575757576
Niclas Füllkrug,West Ham,Premier League,FW,31.0,790,3,2,2.2,1.9,2.2,1.82,0.8,7,14,31,14,0.4,67.2,3,1,16,123,277,0.34177215189873417,0.22784810126582278,0.25063291139240507,0.21645569620253166,0.25063291139240507,0.7974683544303798,1.5949367088607596,3.5316455696202533,1.5949367088607596,0.04556962025316456,0.34177215189873417,0.11392405063291139,1.8227848101265822,14.012658227848101,31.556962025316455,1.2902437256085262,1.2756478512239882,0.811207757968163,1.39205169171172,0.9301539361565339,-0.6187803022677988,-0.9452263607301803,0.039021009137214444,1.035368285673174,-0.5580857296878884,-1.0720581694998212,-1.2462806794900219,-0.1804684290514506,-1.6468063271694433,-1.4763773127904278,0.6501731509863236,0.9920844434203,-1.5334354525680745,1.0,0.34177215189873417,0.22784810126582278,0.25063291139240507,0.21645569620253166,0.25063291139240507,1.82,0.8,0.7974683544303798,1.5949367088607596,3.5316455696202533,1.5949367088607596,0.04556962025316456,14.012658227848101,31.556962025316455,0.34177215189873417,0.11392405063291139,1.8227848101265822,0.7939319340659631,31.945140393456786,0,0,0,1,FW,0.875,0.050541516243885774,0.05691056910162969,0.22784810126582278,0.7506775067750677,0.8279132791327913,0.8780487804878049,0.8970189701897019,0.8102981029810298,0.907859078590786,0.8346883468834688,0.2953929539295393,0.14905149051490515,0.5528455284552846,0.8401084010840109,0.3685636856368564,0.12737127371273713,0.11924119241192412,0.5582655826558266,0.02981029810298103,0.07046070460704607,0.07046070460704607
Cody Gakpo,Liverpool,Premier League,FW,25.0,1935,10,4,7.1,4.4,7.1,2.65,1.02,59,52,278,38,3.8,75.7,16,12,19,605,888,0.46511627906976744,0.18604651162790697,0.3302325581395349,0.2046511627906977,0.3302325581395349,2.744186046511628,2.4186046511627906,12.930232558139535,1.767441860465116,0.17674418604651163,0.7441860465116279,0.5581395348837209,0.883720930232558,28.13953488372093,41.30232558139535,2.041001316263022,0.8780978049632888,1.3565422632643211,1.2539830938944823,1.5206990075507079,0.6818540245446019,-0.5032883560371275,2.9635473510541743,1.2904944183122404,1.2409408591594673,-0.36270667520034805,-0.32142775853547606,-0.7222501980132915,-0.24403545575950697,-0.8452147171041627,1.5107113141349024,1.5430690169775274,-0.4884337584931662,1.0,0.46511627906976744,0.18604651162790697,0.3302325581395349,0.2046511627906977,0.3302325581395349,2.65,1.02,2.744186046511628,2.4186046511627906,12.930232558139535,1.767441860465116,0.17674418604651163,28.13953488372093,41.30232558139535,0.7441860465116279,0.5581395348837209,0.883720930232558,1.551774649304229,40.37347914591095,0,0,0,1,FW,1.0,0.058558558557140754,0.09752066115355919,0.6511627906976745,0.8929539295392954,0.8956639566395664,0.959349593495935,0.8238482384823849,0.8915989159891599,0.8590785907859079,0.907859078590786,0.8075880758807588,0.2981029810298103,0.989159891598916,0.8699186991869918,0.8617886178861789,0.3902439024390244,0.42276422764227645,0.3170731707317073,0.4634146341463415,0.2222222222222222,0.18699186991869918
Idrissa Gana Gueye,Everton,Premier League,MF,34.0,3063,0,3,1.1,1.7,1.1,0.79,0.15,27,145,27,19,2.0,86.5,80,48,36,861,1801,0.0,0.0881488736532811,0.03232125367286974,0.04995102840352596,0.03232125367286974,0.79333986287953,4.260528893241919,0.79333986287953,0.5582761998041136,0.058765915768854066,2.3506366307541624,1.4103819784524976,1.0577864838393731,25.298726738491677,52.91870714985309,-0.7900177606680123,-0.05294837875227867,-0.6844380737410057,-0.5554260451031316,-0.6894873406913707,-0.6215386158388073,0.4849937932779927,-0.8130482626977061,-0.4977986028256429,-0.37710181437298346,2.4690497271149696,1.4529338772939406,-0.6218251411374321,-0.5261220779099905,-0.09287484788948577,-0.4177236056920338,-0.6358245239078723,0.8393330998608346,1.0,0.0,0.0881488736532811,0.03232125367286974,0.04995102840352596,0.03232125367286974,0.79,0.15,0.79333986287953,4.260528893241919,0.79333986287953,0.5582761998041136,0.058765915768854066,25.298726738491677,52.91870714985309,2.3506366307541624,1.4103819784524976,1.0577864838393731,0.9100095926339222,55.83120958918255,0,0,1,0,MF,0.6464466094067263,0.08051082731663517,0.03135888501618206,1.88050930460333,0.453929539295393,0.35772357723577236,0.17615176151761516,0.5745257452574526,0.26287262872628725,0.37669376693766937,0.26287262872628725,0.2926829268292683,0.7208672086720868,0.3143631436314363,0.3712737127371274,0.45257452574525747,0.989159891598916,0.9159891598915989,0.3875338753387534,0.3170731707317073,0.4715447154471545,0.5149051490514905
Aleix García,Leverkusen,Bundesliga,MF,27.0,1455,3,4,1.0,4.9,1.0,0.93,0.31,27,120,47,32,3.8,87.2,7,11,24,787,1503,0.18556701030927836,0.24742268041237114,0.061855670103092786,0.3030927835051547,0.061855670103092786,1.6701030927835052,7.422680412371134,2.907216494845361,1.9793814432989691,0.23505154639175257,0.4329896907216495,0.6804123711340206,1.4845360824742269,48.68041237113402,92.96907216494846,0.22402900392075586,1.3353539206897767,-0.49241787911505946,2.3989861540038215,-0.4821708618749667,0.20920978508319885,2.1320880587400484,-0.22115569173072883,1.5939893190892875,1.4510755228161132,-0.8921428230796596,-0.17790035570587234,-0.4808376404552717,1.7418408758127615,2.1933092788824777,-0.28306636824353243,-0.24388067512327416,1.1992682080167416,0.88,0.16329896907216496,0.21773195876288662,0.054432989690721655,0.26672164948453614,0.054432989690721655,0.8184,0.2728,1.4696907216494846,6.531958762886598,2.5583505154639177,1.741855670103093,0.20684536082474228,42.838762886597934,81.81278350515464,0.4920337394564199,0.7731958762886599,1.6869728209934398,1.312950146058434,87.84111119843843,0,0,1,0,MF,1.0,0.07984031936041866,0.03430749682267518,0.5567010309278351,0.5393939393939394,0.5772727272727273,0.7303030303030303,0.8909090909090909,0.43636363636363634,0.9727272727272728,0.4393939393939394,0.6484848484848484,0.9666666666666667,0.49696969696969695,0.9181818181818182,0.896969696969697,0.20303030303030303,0.47575757575757577,0.45151515151515154,0.9424242424242424,0.9727272727272728,0.9787878787878788
Alejandro Garnacho,Manchester Utd,Premier League,"MF,FW",20.0,2199,6,2,7.3,4.5,7.3,3.44,1.19,141,56,290,37,2.8,78.9,18,13,11,840,1159,0.24556616643929058,0.08185538881309685,0.2987721691678035,0.18417462482946792,0.2987721691678035,5.770804911323329,2.291950886766712,11.869031377899045,1.5143246930422918,0.11459754433833559,0.7366984993178717,0.5320600272851297,0.45020463847203274,34.37926330150068,47.43519781718963,0.704667618284662,-0.11280196831737165,1.1410081954960813,1.0144846922359954,1.2872962424552774,2.7039882075156907,-0.5712442749813933,2.633336989701161,0.9161473137269336,0.3886151040529907,-0.37590528206166945,-0.37572507511887343,-0.9723622813896647,0.3755572173549341,-0.4480166508563806,2.329777758577526,1.968829823817203,-0.0950213560179063,1.0,0.24556616643929058,0.08185538881309685,0.2987721691678035,0.18417462482946792,0.2987721691678035,3.44,1.19,5.770804911323329,2.291950886766712,11.869031377899045,1.5143246930422918,0.11459754433833559,34.37926330150068,47.43519781718963,0.7366984993178717,0.5320600272851297,0.45020463847203274,1.040602406291736,46.00206628563591,0,0,1,1,MF,0.3535533905932738,0.048317515098204866,0.1678571428522604,0.6343792633015006,0.9742547425474255,0.948509485094851,0.7913279132791328,0.5474254742547425,0.8617886178861789,0.8157181571815718,0.8753387533875339,0.989159891598916,0.2764227642276423,0.983739837398374,0.8184281842818428,0.7018970189701897,0.38482384823848237,0.39295392953929537,0.0948509485094851,0.6937669376693767,0.3604336043360434,0.31978319783197834
James Garner,Everton,Premier League,"MF,DF",23.0,1594,0,1,0.7,1.4,0.7,0.68,0.23,15,50,30,13,1.4,76.1,31,23,37,478,977,0.0,0.05646173149309912,0.039523212045169384,0.07904642409033877,0.039523212045169384,0.8469259723964868,2.8230865746549565,1.6938519447929736,0.7340025094102886,0.07904642409033877,1.7503136762860727,1.2986198243412799,2.0890840652446676,26.988707653701383,55.16311166875784,-0.7900177606680123,-0.3543059333516734,-0.6350976989200185,-0.215119457348568,-0.6360564374782114,-0.5857368487096606,-0.28626408567043193,-0.5328389814528389,-0.23790854530676692,-0.09895967999633971,1.4108358072803795,1.2202460076753043,-0.026830231906248118,-0.3583103203047204,0.0524849607795586,-0.5317708321334118,-0.4354664971597896,-0.43925720818375985,1.0,0.0,0.05646173149309912,0.039523212045169384,0.07904642409033877,0.039523212045169384,0.68,0.23,0.8469259723964868,2.8230865746549565,1.6938519447929736,0.7340025094102886,0.07904642409033877,26.988707653701383,55.16311166875784,1.7503136762860727,1.2986198243412799,2.0890840652446676,0.9100095926339222,58.19914005927204,0,1,1,0,MF,0.8184875533567997,0.05117707267051546,0.031380753136912576,1.5244667503136764,0.4024390243902439,0.47560975609756095,0.17615176151761516,0.4715447154471545,0.31029810298102983,0.521680216802168,0.31029810298102983,0.3143631436314363,0.3983739837398374,0.4010840108401084,0.4959349593495935,0.5636856368563685,0.924119241192412,0.8780487804878049,0.5853658536585366,0.4037940379403794,0.5121951219512195,0.5907859078590786
Lutsharel Geertruida,RB Leipzig,Bundesliga,DF,24.0,1557,1,0,1.1,1.0,1.1,0.46,0.06,21,93,34,10,1.6,86.7,24,16,59,642,1266,0.057803468208092484,0.0,0.06358381502890174,0.057803468208092484,0.06358381502890174,1.2138728323699421,5.375722543352602,1.9653179190751444,0.5780346820809248,0.09248554913294797,1.3872832369942196,0.9248554913294798,3.4104046242774566,37.10982658959537,73.17919075144508,-0.46010863550746695,-0.9032492487568731,-0.48140343250983336,-0.47461522580301524,-0.4699803869294584,-0.18892616789085045,1.050538932490712,-0.5207891558807674,-0.4803930758078711,-0.20581109082265495,1.071418209971935,0.2764987551836934,0.522488212754334,0.6514562658480084,1.0143495794170925,-0.7612669315217364,-0.8443031071635642,1.139041992311007,0.88,0.05086705202312139,0.0,0.05595375722543353,0.05086705202312139,0.05595375722543353,0.4048,0.0528,1.068208092485549,4.730635838150289,1.7294797687861272,0.5086705202312138,0.08138728323699422,32.65664739884393,64.39768786127166,1.576458223857068,1.0509721492380453,3.875459800315292,0.7576537497766292,71.41663669420724,0,1,0,0,DF,1.0,0.0734597156388066,0.03271028037295034,1.1560693641618496,0.23030303030303031,0.18484848484848485,0.42424242424242425,0.1712121212121212,0.45454545454545453,0.40606060606060607,0.4575757575757576,0.5121212121212121,0.8666666666666667,0.4090909090909091,0.37575757575757573,0.5181818181818182,0.8727272727272727,0.6090909090909091,0.7212121212121212,0.803030303030303,0.8515151515151516,0.8454545454545455
Dennis Geiger,Hoffenheim,Bundesliga,"MF,FW",26.0,734,0,0,0.2,0.5,0.2,0.61,0.12,12,37,21,11,0.7,87.3,11,7,6,259,441,0.0,0.0,0.02452316076294278,0.061307901907356945,0.02452316076294278,1.4713896457765667,4.536784741144414,2.5749318801089918,1.3487738419618527,0.08583106267029973,1.3487738419618527,0.8583106267029973,0.7356948228882834,31.757493188010898,54.07356948228883,-0.7696298623010193,-0.9032492487568731,-0.7303591099835881,-0.4335602556692691,-0.7455174209322257,0.03579961382198163,0.6072701868614441,-0.32686090539006935,0.6605149339449374,-0.2831488133694058,0.9921810111170359,0.15279747328072307,-0.8709638507256443,0.14706503806766974,-0.12384609942181322,-0.6086497304755011,-0.7002017234738945,1.211313451157888,0.88,0.0,0.0,0.02158038147138965,0.05395095367847411,0.02158038147138965,0.5367999999999999,0.1056,1.2948228882833788,3.9923705722070846,2.2659400544959127,1.1869209809264303,0.07553133514986377,27.94659400544959,47.584741144414174,1.5326975476839237,0.9753529848897697,0.8360168441912311,0.8373409205245362,54.87897955313054,0,0,1,1,MF,1.0,0.08390022675581803,0.0463320463305874,1.103542234332425,0.32727272727272727,0.2924242424242424,0.16515151515151516,0.1712121212121212,0.18484848484848485,0.4212121212121212,0.19393939393939394,0.5757575757575758,0.7787878787878788,0.4696969696969697,0.7757575757575758,0.4727272727272727,0.8636363636363636,0.5666666666666667,0.19696969696969696,0.6515151515151515,0.47575757575757577,0.49696969696969695
Valentin Gendrey,Hoffenheim,Bundesliga,DF,24.0,1414,1,1,1.1,1.8,1.1,0.64,0.32,24,49,86,16,2.7,69.9,12,15,53,363,874,0.06364922206506365,0.06364922206506365,0.07001414427157002,0.11456859971711458,0.07001414427157002,1.5275813295615275,3.118811881188119,5.473833097595474,1.0183875530410185,0.17185289957567185,0.7637906647807637,0.9547383309759547,3.373408769448373,23.104667609618105,55.62942008486563,-0.42880627664503557,-0.3273709581725599,-0.4404193014687177,0.19039686423316302,-0.4246203211424862,0.0848361015653902,-0.14194274562862816,0.595327360277446,0.17145146998325272,0.7165876791295175,-0.2114844398231717,0.3320484297065681,0.5032143647185517,-0.6683567583328769,-0.031158067568556266,-0.5781262902662541,-0.21986377784166253,-0.8845588554016839,0.88,0.056011315417256013,0.056011315417256013,0.06161244695898162,0.10082036775106083,0.06161244695898162,0.5632,0.2816,1.344271570014144,2.7445544554455448,4.816973125884017,0.8961810466760962,0.15123055162659121,20.332107496463934,48.953889674681754,0.8679439372508679,1.084929921563585,3.833419056191333,0.8373409205245362,56.45800409735828,0,1,0,0,DF,1.0,0.05606407322553682,0.06611570247647726,0.8592644978783592,0.346969696969697,0.5893939393939394,0.44545454545454544,0.47575757575757577,0.47878787878787876,0.6363636363636364,0.48484848484848486,0.603030303030303,0.48484848484848486,0.7090909090909091,0.6181818181818182,0.793939393939394,0.3878787878787879,0.6272727272727273,0.7181818181818181,0.24545454545454545,0.5242424242424243,0.5151515151515151
Yannick Gerhardt,Wolfsburg,Bundesliga,"MF,DF",30.0,1518,1,1,1.2,0.2,1.2,0.89,0.24,27,57,63,4,1.1,76.9,16,17,47,438,854,0.05928853754940712,0.05928853754940712,0.07114624505928854,0.011857707509881424,0.07114624505928854,1.6007905138339922,3.3794466403162056,3.7351778656126484,0.23715415019762848,0.06521739130434782,0.9486166007905139,1.007905138339921,2.7865612648221343,25.968379446640316,50.63241106719368,-0.4521565091273954,-0.36682507030745354,-0.43320378181418234,-1.012876752517935,-0.41663439005397374,0.14872315789600096,-0.004231412986326335,0.04223246925311255,-0.9849909338621239,-0.5227186743524052,0.16881469063157284,0.43088103328201466,0.1974825556659233,-0.398487334829266,-0.3288492020733091,-0.32376428852252853,-0.41199895609455534,-0.04139183552139597,0.88,0.052173913043478265,0.052173913043478265,0.06260869565217392,0.010434782608695653,0.06260869565217392,0.7832,0.2112,1.4086956521739131,2.973913043478261,3.2869565217391306,0.20869565217391306,0.057391304347826085,22.85217391304348,44.55652173913044,1.0779734099892204,1.1453467481135466,3.1665468918433346,0.8853139600847255,51.97384112590632,0,1,1,0,MF,0.9319586182560229,0.06674473067783869,0.06164383561406456,0.9782608695652174,0.5196969696969697,0.48787878787878786,0.4303030303030303,0.45454545454545453,0.48787878787878786,0.15151515151515152,0.49393939393939396,0.6212121212121212,0.5303030303030303,0.5424242424242425,0.17575757575757575,0.35454545454545455,0.5484848484848485,0.6696969696969697,0.6393939393939394,0.39090909090909093,0.42727272727272725,0.4484848484848485
Max Geschwill,Holstein Kiel,Bundesliga,DF,23.0,1282,1,2,0.9,0.8,0.9,0.63,0.14,6,58,16,10,0.9,74.3,21,30,53,379,827,0.07020280811232449,0.14040561622464898,0.06318252730109206,0.056162246489859596,0.06318252730109206,0.421216848673947,4.071762870514821,1.1232449297971918,0.702028081123245,0.06318252730109206,1.4742589703588145,2.1060842433697347,3.720748829953198,26.60686427457098,58.05772230889236,-0.3937136765618922,0.3670969335929221,-0.48396106652841736,-0.49384238613966225,-0.4728111032187847,-0.8806489071131821,0.36156703611344243,-0.7886664553428753,-0.296848409223505,-0.5463676438991156,1.2503800834152499,2.4723032198587194,0.6841692196296645,-0.33831803629795076,0.11350527833185102,-0.588300770336003,-0.6521679289106713,-0.35456815719121826,0.88,0.06177847113884555,0.1235569422776911,0.05560062402496101,0.049422776911076445,0.05560062402496101,0.5544,0.12320000000000002,0.37067082683307334,3.5831513260530423,0.9884555382215288,0.6177847113884556,0.05560062402496101,23.414040561622464,51.09079563182527,1.675294284498653,2.3932775492837894,4.228123670401362,0.9080600159224695,61.50896825429742,0,1,0,0,DF,0.8184875533567997,0.0701330108815006,0.0158311345640488,1.7901716068642746,0.3378787878787879,0.3303030303030303,0.47575757575757577,0.7181818181818181,0.44545454545454544,0.3878787878787879,0.4484848484848485,0.19393939393939394,0.693939393939394,0.3090909090909091,0.4393939393939394,0.3424242424242424,0.9030303030303031,0.990909090909091,0.7636363636363637,0.45151515151515154,0.5727272727272728,0.6393939393939394
Dimitris Giannoulis,Augsburg,Bundesliga,DF,28.0,2650,1,4,1.1,4.2,1.1,0.44,0.14,60,104,164,42,5.4,74.7,32,47,75,845,1802,0.033962264150943396,0.13584905660377358,0.03735849056603774,0.14264150943396228,0.03735849056603774,2.0377358490566038,3.5320754716981133,5.569811320754717,1.4264150943396225,0.18339622641509434,1.0867924528301887,1.5962264150943397,2.547169811320755,28.69811320754717,61.2,-0.5877715415019397,0.3258706046562873,-0.6485522819419655,0.5192752419962913,-0.654975959944097,0.5300298412333262,0.07641293329946676,0.62585961526536,0.7754455503401417,0.8507429762188805,0.45312628409624583,1.524520587796211,0.07276602952625923,-0.1412436880172693,0.30070290144733125,-0.7816158916612345,-0.6521679289106713,-0.30638718462662967,0.88,0.02988679245283019,0.11954716981132076,0.03287547169811321,0.12552452830188682,0.03287547169811321,0.3872,0.12320000000000002,1.7932075471698112,3.10822641509434,4.901433962264151,1.2552452830188678,0.16138867924528302,25.25433962264151,53.856,1.234991423670669,1.8138936535162953,2.894511149228131,0.6247067568035136,62.430597256672144,0,1,0,0,DF,1.0,0.05771365149739215,0.07100591715728907,1.3415094339622642,0.21818181818181817,0.3303030303030303,0.35454545454545455,0.693939393939394,0.2909090909090909,0.7545454545454545,0.3,0.7515151515151515,0.5606060606060606,0.7212121212121212,0.8090909090909091,0.8212121212121212,0.6666666666666666,0.9333333333333333,0.6181818181818182,0.5545454545454546,0.6363636363636364,0.6575757575757576
Morgan Gibbs-White,Nott'ham Forest,Premier League,MF,24.0,2803,7,8,6.3,5.0,6.3,1.96,0.67,69,164,137,51,4.7,78.3,22,23,29,923,1627,0.22475918658580094,0.2568676418123439,0.20228326792722082,0.16054227613271493,0.20228326792722082,2.2154834106314665,5.2657866571530505,4.398858366036389,1.6375312165536926,0.15090973956475207,0.7063860149839458,0.7384944702104888,0.9311452015697468,29.636104174099177,52.24045665358545,0.5780219609527819,1.5516354341523997,0.47996597514853506,0.7380751863407694,0.5714507908682711,0.32861903844511975,1.0243635897319363,0.3088686649885147,1.0983633436079454,0.8866278423962992,-0.42933834276372085,0.054069707580205566,-0.6948893270790499,-0.0954290894176232,-0.13680202836729924,0.7953241664571681,0.6665026499546656,-0.16878618148201852,1.0,0.22475918658580094,0.2568676418123439,0.20228326792722082,0.16054227613271493,0.20228326792722082,1.96,0.67,2.2154834106314665,5.2657866571530505,4.398858366036389,1.6375312165536926,0.15090973956475207,29.636104174099177,52.24045665358545,0.7063860149839458,0.7384944702104888,0.9311452015697468,0.8197912513989281,56.37730712008271,0,0,1,0,MF,1.0,0.10079901659303053,0.07475622968328469,0.7224402425972173,0.7926829268292683,0.7682926829268293,0.7777777777777778,0.924119241192412,0.7642276422764228,0.7642276422764228,0.7750677506775068,0.6964769647696477,0.8563685636856369,0.6639566395663956,0.8482384823848238,0.8130081300813008,0.3604336043360434,0.5392953929539296,0.33875338753387535,0.5420054200542005,0.45257452574525747,0.5365853658536586
